playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
57,78.0,24.0,17.476282051282052,7.9,2.0,3.3,60.5%,0.9,3.4,25%,1.3,1.7,76.9%,0.6,1.3,1.9,0.7,0.9,1.0,0.3,0.2,1.3,1.6,6.5,008384,"PROCIDA, GABRIELE"
58,83.0,34.0,21.326506024096386,9.4,0.6,1.3,44.2%,2.6,6.3,41.2%,0.5,0.7,81.8%,0.3,1.5,1.8,1.2,0.5,1.0,0.0,0.2,1.8,1.1,6.6,004508,"OBST, ANDREAS"
59,53.0,13.0,17.175786163522012,5.2,0.9,1.6,54.1%,1.0,2.4,40.8%,0.6,0.7,79.5%,0.9,2.2,3.1,0.6,0.5,0.5,0.3,0.1,1.1,1.0,6.7,009664,"WILLIS, DEREK"
60,117.0,57.0,20.39273504273504,6.5,2.1,3.4,61.2%,0.6,2.0,27.3%,0.7,1.2,61.5%,1.1,2.3,3.4,0.3,0.4,0.4,0.2,0.1,2.0,1.6,6.7,011231,"BLOSSOMGAME, JARON"
61,92.0,34.0,21.95905797101449,4.9,0.9,1.7,54.8%,0.6,1.9,33.3%,1.2,1.4,80.5%,0.9,2.7,3.6,1.3,1.0,1.0,0.2,0.2,2.6,1.8,6.7,002676,"BUTKEVICIUS, ARNAS"
62,71.0,25.0,18.33075117370892,7.0,1.2,2.1,57.2%,1.3,3.6,36%,0.7,1.0,71.2%,0.9,2.7,3.6,0.5,0.7,0.5,0.3,0.2,2.3,1.1,6.7,011971,"WEBB III, JAMES"
63,56.0,13.0,17.716369047619047,5.9,1.4,2.7,49.7%,0.6,2.0,31.9%,1.2,1.4,86.2%,0.9,2.3,3.2,1.2,0.6,1.3,0.0,0.3,1.6,2.2,7.0,005356,"LOPEZ-AROSTEGUI, XABI"
64,92.0,57.0,22.957246376811597,9.4,1.4,2.7,52%,1.8,4.7,39.2%,1.1,1.5,78.4%,0.5,1.4,1.9,1.3,0.4,0.8,0.0,0.3,2.2,1.5,7.1,004761,"MARINKOVIC, VANJA"
65,47.0,13.0,16.365248226950353,8.3,2.3,3.7,61.5%,1.0,3.1,31%,0.9,1.2,75%,0.3,1.5,1.8,1.7,0.7,1.1,0.2,0.1,2.0,1.5,7.1,003983,"AVRAMOVIC, ALEKSA"
66,105.0,37.0,13.736031746031744,6.0,2.5,3.9,63.9%,0.0,0.0,0%,1.0,1.6,64.8%,1.2,2.0,3.2,0.4,0.2,0.7,0.4,0.2,1.8,1.6,7.1,005504,"BIRUTIS, LAURYNAS"
67,94.0,81.0,22.13936170212766,5.4,2.2,4.5,47.8%,0.0,0.1,25%,0.9,1.4,70.1%,1.9,1.5,3.4,1.1,1.1,0.7,0.1,0.1,2.2,2.0,7.1,010588,"BROWN III, JOHN"
68,95.0,69.0,20.563333333333333,5.7,1.1,2.2,50%,0.8,2.0,38.8%,1.2,1.5,78.9%,0.4,2.1,2.4,2.8,0.6,1.4,0.0,0.2,2.4,2.4,7.3,001844,"HACKETT, DANIEL"
69,90.0,39.0,18.940740740740743,7.6,1.2,2.4,47.3%,1.4,3.8,36.2%,1.1,1.3,86.6%,0.3,1.5,1.8,2.7,0.9,1.5,0.1,0.3,1.6,1.4,7.3,007947,"VILDOZA, LUCA"
70,62.0,8.0,16.260215053763442,8.0,1.2,2.3,50.7%,1.6,3.5,46.4%,0.8,1.0,79.7%,0.9,1.9,2.9,0.7,0.5,0.5,0.1,0.3,1.5,0.8,7.4,011085,"ROGKAVOPOULOS, NIKOLAOS"
71,81.0,47.0,18.325102880658434,5.5,1.3,2.5,50.5%,0.8,1.9,39.9%,0.7,0.9,78.6%,1.1,2.2,3.3,1.1,0.4,0.6,0.2,0.1,1.0,1.3,7.5,010560,"PIERRE, DYSHAWN"
72,52.0,31.0,20.620512820512825,8.5,2.8,6.4,44.1%,0.4,1.6,24.4%,1.7,2.0,82.9%,0.5,1.7,2.1,3.6,0.4,2.3,0.0,0.4,1.6,2.4,7.5,008173,"SPAGNOLO, MATTEO"
73,111.0,7.0,16.865015015015015,8.0,1.9,2.9,63.9%,0.9,2.8,32.4%,1.5,2.3,68%,0.5,1.2,1.7,1.4,0.8,0.9,0.0,0.2,1.3,1.9,7.7,007853,"MCKISSIC, SHAQUIELLE"
74,89.0,46.0,14.310674157303373,6.7,2.8,4.6,61.4%,0.0,0.0,0%,1.0,1.8,57.4%,1.4,2.3,3.8,0.5,0.4,1.1,0.2,0.2,1.8,1.8,7.8,002581,"JAITEH, MAM"
75,91.0,63.0,21.715201465201464,6.6,1.3,2.7,48.6%,0.9,2.5,35.8%,1.3,1.5,84.3%,1.5,2.7,4.2,1.1,0.7,1.0,0.3,0.2,2.4,1.7,7.9,006760,"BONGA, ISAAC"
76,93.0,43.0,20.601612903225806,8.4,2.3,4.8,49.1%,0.8,2.0,38.9%,1.4,1.7,80.1%,0.2,1.7,2.0,2.9,0.8,1.5,0.0,0.3,2.4,1.9,7.9,007982,"WILLIAMS-GOSS, NIGEL"
77,53.0,7.0,17.260377358490565,9.6,1.5,3.3,46.6%,1.2,3.8,30%,3.0,3.6,83.3%,0.1,0.7,0.8,2.8,0.5,1.5,0.0,0.3,2.0,3.2,7.9,011970,"HARPER, JARED"
78,58.0,22.0,20.30057471264368,7.7,2.4,4.8,50.7%,0.6,1.9,31.5%,1.1,1.5,73.9%,1.2,2.9,4.0,0.7,0.6,1.3,0.7,0.2,1.8,1.7,8.0,008847,"MICKEY, JORDAN"
79,72.0,45.0,21.42129629629629,8.4,1.2,2.2,53.8%,1.5,3.6,41.8%,1.5,1.8,86.6%,0.3,1.8,2.1,1.4,0.5,1.0,0.0,0.1,2.3,2.3,8.0,002328,"GRIGONIS, MARIUS"
80,109.0,81.0,18.86376146788991,5.8,2.3,4.1,56.1%,0.0,0.0,50%,1.1,1.5,75.9%,1.9,2.4,4.3,0.5,0.8,0.9,0.8,0.3,2.3,1.5,8.1,010390,"HAYES, KEVARRIUS"
81,90.0,37.0,21.346111111111117,8.5,1.8,3.6,50%,1.2,3.6,32.8%,1.4,1.8,79.2%,0.4,1.8,2.2,2.3,0.7,1.2,0.0,0.2,1.6,2.0,8.1,010781,"LUNDBERG, IFFE"
