playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
176.0,28.0,28.0,26.258333333333333,14.9,4.3,7.4,58.7%,1.1,2.8,40.5%,2.9,3.5,82.5%,1.8,2.9,4.7,1.6,0.7,1.6,0.2,0.3,2.7,3.9,16.2,007056,"BOOKER, DEVIN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BOSNJAKOVIC, MITAR"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BOSTON, BRANDON"
40.0,26.0,1.0,9.12948717948718,4.3,1.6,2.4,67.7%,0.1,0.3,25%,0.9,1.2,76.7%,1.0,1.1,2.2,0.2,0.3,0.5,0.5,0.0,1.9,0.8,4.6,007639,"BRANKOVIC, DANKO"
91.0,29.0,18.0,17.655172413793103,8.2,2.5,4.8,52.2%,0.6,2.6,24%,1.3,1.5,88.6%,0.9,2.3,3.2,1.4,0.3,0.9,0.1,0.4,1.5,1.5,7.6,011983,"BRAZDEIKIS, IGNAS"
,,,,,,,,,,,,,,,,,,,,,,,,,,"BRISSETT, OSHAE"
105.0,36.0,0.0,18.34583333333333,10.0,1.8,3.4,53.3%,1.8,3.9,46%,1.1,1.4,79.6%,0.3,1.1,1.4,2.2,0.4,1.3,0.1,0.3,2.0,1.9,8.4,009992,"BRIZUELA, DARIO"
63.0,32.0,3.0,15.011979166666666,7.6,1.0,2.2,45.8%,1.6,3.8,41.3%,0.9,0.9,96.6%,0.4,1.6,2.0,0.8,0.5,0.5,0.1,0.2,1.4,0.7,6.1,013384,"BROOKS, ARMONI"
92.0,38.0,11.0,14.914473684210526,6.3,1.6,3.1,53.4%,0.7,2.1,33.3%,0.9,1.1,80.5%,0.3,1.7,2.0,2.7,0.8,1.3,0.1,0.1,1.1,1.3,7.6,009622,"BROWN, LORENZO"
140.0,34.0,30.0,25.762254901960784,12.4,2.6,4.5,57.5%,2.0,4.3,46.9%,1.1,1.2,92.9%,0.7,2.4,3.0,2.1,0.8,1.4,0.2,0.4,2.1,1.3,11.5,012720,"BROWN, STERLING"
36.0,23.0,11.0,13.681884057971017,4.4,1.0,2.0,50%,0.5,1.9,27.9%,0.9,1.1,80%,0.8,1.7,2.5,0.7,0.4,0.5,0.2,0.1,1.5,0.8,4.4,013365,"BROWN, VITTO"
167.0,38.0,31.0,27.03245614035088,13.8,3.4,6.9,49%,1.5,4.1,36.5%,2.6,2.9,90%,0.6,3.6,4.2,3.1,1.2,2.2,0.2,0.5,2.7,3.7,14.4,009846,"BRYANT, ELIJAH"
68.0,33.0,17.0,22.01313131313131,4.5,0.6,1.3,46.5%,0.8,2.2,38%,0.8,1.1,74.3%,0.9,2.8,3.7,1.2,1.0,0.7,0.3,0.2,2.5,1.6,6.5,002676,"BUTKEVICIUS, ARNAS"
,,,,,,,,,,,,,,,,,,,,,,,,,,"CABOCLO, BRUNO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"CALATHES, NICK"
,,,,,,,,,,,,,,,,,,,,,,,,,,"CALE, MYLES"
182.0,39.0,33.0,25.74017094017094,12.0,2.3,4.0,56.1%,1.3,3.9,33.8%,3.5,4.0,86%,0.7,2.4,3.1,6.0,1.0,2.3,0.1,0.4,2.2,5.2,17.5,005928,"CAMPAZZO, FACUNDO"
70.0,35.0,8.0,21.01904761904762,10.0,1.3,2.7,46.8%,2.0,5.2,38.3%,1.5,1.7,86.4%,0.3,1.1,1.5,1.3,0.6,0.9,0.0,0.2,1.9,1.2,6.7,010612,"CANAAN, ISAIAH"
,,,,,,,,,,,,,,,,,,,,,,,,,,"CANCAR, VLATKO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"CANKA, ABRAMO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"CARTER, TYSON"
17.0,22.0,1.0,7.782575757575757,2.6,1.1,1.5,75.8%,0.0,0.0,0%,0.4,0.5,66.7%,0.9,0.6,1.5,0.3,0.2,0.4,0.5,0.2,1.8,0.6,2.7,006721,"CARUSO, GUGLIELMO"
127.0,22.0,2.0,21.018181818181816,8.3,1.5,2.6,59.6%,1.3,2.4,52.8%,1.4,1.8,76.9%,0.6,2.1,2.8,1.7,1.0,0.9,0.1,0.2,2.0,1.6,9.9,001392,"CAUSEUR, FABIEN"
25.0,36.0,0.0,10.934722222222222,2.8,1.0,1.6,64.9%,0.1,0.3,40%,0.4,0.6,72.7%,1.1,1.7,2.7,0.4,0.2,0.5,0.0,0.0,1.9,0.9,3.7,013373,"CAVALIERE, LEOPOLD"
,,,,,,,,,,,,,,,,,,,,,,,,,,"CLARK III, JIMMY"
171.0,24.0,24.0,27.43055555555556,13.8,3.2,6.1,51.7%,1.8,5.2,34.1%,2.0,2.5,81.7%,1.0,3.7,4.7,2.4,1.1,1.4,0.2,0.2,1.5,3.3,15.4,004888,"CLYBURN, WILL"
12.0,23.0,0.0,9.506521739130434,2.8,0.7,1.2,57.1%,0.2,0.7,33.3%,0.7,0.7,100%,0.6,0.9,1.5,0.4,0.1,0.6,0.0,0.2,1.1,0.6,2.6,005145,"COHEN, JAKE"
