playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
61,48.0,38.0,23.921180555555555,10.0,2.5,4.6,53.6%,1.3,3.4,37.4%,1.3,1.8,71.8%,0.8,3.6,4.4,1.5,0.4,1.7,0.2,0.2,2.4,2.2,9.7,011928,"SIMMS, AAMIR",25,https://media-cdn.incrowdsports.com/90929047-a06a-4908-b66f-3992ebdd5a6c.png,PRS;VNC,PBB;URV,Paris Basketball;Umana Reyer Venice,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png;https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
62,32.0,22.0,23.398958333333333,8.4,2.2,4.5,50%,0.6,2.6,24.4%,2.1,2.6,79.5%,0.4,2.8,3.2,4.1,0.9,2.2,0.2,0.4,2.5,3.0,9.9,012593,"ELLIS, QUINN",21,https://media-cdn.incrowdsports.com/1f3530cb-b118-43b4-a664-bfd6a21aad0a.png,TRN,TRE,Dolomiti Energia Trento,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png
63,45.0,5.0,17.251481481481484,7.8,3.1,4.6,66.5%,0.0,0.0,0%,1.6,2.4,65.5%,1.4,2.7,4.2,0.9,0.4,1.2,0.6,0.4,2.4,2.5,10.0,012016,"CONDITT IV, GEORGE",24,https://media-cdn.incrowdsports.com/411c98e4-6d6e-4c5b-bf3f-619ab920b651.png,PAT;CAN,PRO;DGC,Promitheas Patras;Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/808f1bd0-aad0-470a-b621-3eba9efc6997.png;https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
64,36.0,32.0,25.530555555555555,10.5,3.1,5.2,59.1%,1.2,3.8,31.1%,0.9,1.2,72.7%,1.8,3.1,4.9,1.4,0.6,1.5,0.6,0.4,2.8,2.0,10.2,005738,"GRAZULIS, ANDREJS",30,https://media-cdn.incrowdsports.com/559a7eae-7b31-451a-b400-dbe061e5bc19.png,TRN,TRE,Dolomiti Energia Trento,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png
65,36.0,33.0,26.832870370370372,11.0,3.6,6.9,51.4%,0.6,2.6,23.9%,2.1,3.0,69.4%,1.2,2.9,4.1,1.9,1.3,1.6,0.3,0.4,2.6,2.6,10.4,012700,"STEWART, DJ",25,https://media-cdn.cortextech.io/dd9bcf27-807d-4de7-8797-5b659b95eb0a.png,LJU,COL,KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
66,42.0,26.0,23.623809523809523,11.8,2.4,5.4,44.9%,1.1,3.6,29.4%,3.7,5.1,71.8%,0.4,1.9,2.3,3.3,0.7,2.5,0.3,0.5,2.3,4.5,10.5,011924,"ALLMAN, KYLE",27,https://media-cdn.incrowdsports.com/8509537c-0e40-451b-b6c8-0d7ed53c05df.png,PRS;BES,PBB;BJK,Paris Basketball;Besiktas Istanbul,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png;https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png
67,32.0,12.0,21.040104166666666,10.1,2.1,4.4,47.9%,1.3,3.4,38.2%,2.0,2.5,79.7%,1.0,1.8,2.8,2.2,0.8,1.3,0.1,0.3,1.8,2.9,10.5,011821,"MASSINBURG, CJ",27,https://media-cdn.incrowdsports.com/ff5e8a3e-8f27-4137-80fb-56c0735d78d2.png,BRE;BAH,BRE;BKS,Brescia Leonessa;Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/6e44327d-88cd-4060-a495-b5763dd981c3.png;https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
68,61.0,60.0,23.08087431693989,6.5,0.9,1.5,60.7%,1.1,3.4,31%,1.5,2.1,72.3%,0.3,1.4,1.7,4.3,1.6,2.1,0.0,0.0,1.4,3.6,10.6,003425,"ALBICY, ANDREW",34,https://media-cdn.incrowdsports.com/7d12b702-a1a1-45d7-8257-225fbada577d.png,CAN,GCA,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
69,47.0,39.0,23.52553191489362,8.8,2.0,3.3,60.8%,1.0,2.9,32.8%,2.0,2.7,72.7%,1.0,2.7,3.7,1.7,1.5,1.6,0.4,0.1,2.8,3.0,10.6,011797,"GUZMAN, KAREL",29,https://media-cdn.incrowdsports.com/374362fb-7f20-4f6a-b455-a40ffe8b5cf3.png,CLU,UBT,U-BT Cluj-Napoca,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png
70,34.0,19.0,25.64264705882353,9.0,1.8,3.9,47%,1.1,3.0,35.3%,2.2,3.1,70.1%,0.6,2.1,2.7,4.3,1.1,1.7,0.0,0.1,2.8,3.1,10.7,005247,"TAYLOR, JORDAN",34,https://media-cdn.incrowdsports.com/37715892-472a-415b-99cb-17044e94a37d.png,CLU;LLI,UBT;LDN,U-BT Cluj-Napoca;London Lions,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png;https://media-cdn.cortextech.io/102de468-9e41-4b8e-b44d-23bebb9e916f.png
