playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
32,28.0,10.33095238095238,68.3%,67.8%,11.7%,15.2%,13.5%,0.4,9.3%,25.5%,51%,0%,63.3%,4.2,008991,"BLACK, TARIK",33,https://media-cdn.incrowdsports.com/31431122-8f94-41c1-ae56-2c34657c17c3.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
33,29.0,11.239655172413793,51.1%,56.3%,6.8%,14.4%,10.6%,3.8,21.3%,5.7%,29.8%,32.6%,38.6%,2.4,012515,"TARPEY, TERRY",30,https://media-cdn.incrowdsports.com/7e0e48b2-b483-4780-9bd7-197a630f9235.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
34,33.0,11.39090909090909,46.7%,55.4%,12.6%,18.7%,15.7%,0.8,5.6%,6.8%,45.1%,22.6%,66.7%,2.7,013381,"RAYMAN, WILLIAM",27,https://media-cdn.incrowdsports.com/b1c74b18-0d82-42f9-b070-777f3705eae9.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
35,30.0,12.055,59.3%,60.1%,4.2%,15.4%,9.9%,2.7,19.3%,7.2%,13.3%,58%,6.8%,2.8,003198,"DIEZ, DANIEL",30,https://media-cdn.incrowdsports.com/dd893939-b4ad-4ada-8173-0a55122c7248.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
36,43.0,15.643798449612403,43.2%,47.3%,3.9%,13.6%,8.8%,1.1,12%,10.6%,43.8%,27.2%,20.8%,5.0,KIR,"KAHUDI, CHARLES",38,https://media-cdn.incrowdsports.com/09c42084-be1d-4b65-b880-9544effea93a.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
37,35.0,7.200952380952381,64.8%,58.5%,11.8%,14.7%,13.3%,0.4,6.1%,15.3%,55.2%,0%,96.3%,2.8,011221,"ANTETOKOUNMPO, KOSTAS",27,https://media-cdn.incrowdsports.com/0bb5b2a2-1e74-4a09-9614-df6c89917382.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
38,55.0,12.24181818181818,57.3%,58.3%,2.5%,10.7%,6.6%,1.0,11.9%,11.5%,36.4%,37.2%,9.7%,4.6,004007,"DOBRIC, OGNJEN",30,https://media-cdn.incrowdsports.com/a22ad126-7b94-446e-87f2-6ec6b8709388.png,VIR;RED,VIR;CZV,Virtus Bologna;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
39,35.0,13.516190476190475,64.5%,65%,6.4%,10.6%,8.4%,0.8,11.6%,14.3%,25%,42.8%,21.1%,3.2,005793,"SY, BANDJA",34,https://media-cdn.incrowdsports.com/a07f3230-7935-48ea-89d0-e323d7374266.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
40,53.0,15.26194968553459,51.5%,55.2%,2.3%,7.6%,4.9%,1.1,14.6%,13.6%,34.7%,31.2%,20.2%,5.8,000229,"JACKSON, EDWIN",35,https://media-cdn.incrowdsports.com/5985ad3d-5864-4d4b-82a1-c95c14ed8b85.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
41,42.0,13.055952380952382,55.1%,57.4%,3.4%,9.2%,6.4%,1.1,11.5%,10.4%,37.7%,31.7%,28.3%,4.4,005161,"PAPAPETROU, IOANNIS",30,https://media-cdn.incrowdsports.com/34435fbb-b543-4cdd-84f6-62cf44448c88.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
42,34.0,12.336764705882352,55.1%,59.1%,10.3%,12.4%,11.4%,1.0,18.3%,19%,50.5%,0.7%,51.3%,4.5,002812,"HINES, KYLE",37,https://media-cdn.incrowdsports.com/24f75c32-e4db-499d-b2e6-d46f52986033.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
43,31.0,12.856451612903227,51.2%,53.2%,5.2%,10.3%,7.7%,2.2,8.9%,4.1%,29.3%,53.8%,10.7%,4.7,003527,"ABASS, AWUDU",30,https://media-cdn.incrowdsports.com/48981256-0717-4569-80e4-d00a533de995.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
44,36.0,10.934722222222222,64.2%,66.5%,10.3%,17.5%,13.8%,0.8,13.6%,17.2%,51.5%,9%,32.8%,3.1,013373,"CAVALIERE, LEOPOLD",28,https://media-cdn.incrowdsports.com/f24384c7-9fbd-4d01-a2e8-40f94f2cd1ec.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
45,54.0,11.194444444444445,45.6%,51%,2.1%,9.9%,6.1%,1.8,21.6%,12.1%,20.4%,38%,30.5%,6.4,010392,"LARENTZAKIS, GIANNOULIS",31,https://media-cdn.incrowdsports.com/f051ba29-7b39-4681-b3c7-3de17ce25734.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
46,65.0,17.818461538461538,48.5%,49.5%,5.9%,12.1%,8.9%,0.7,8.4%,11.4%,32.9%,42.1%,15.8%,6.2,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
47,48.0,12.629166666666668,52.7%,54.4%,7.9%,13.5%,10.8%,1.5,13.1%,8.8%,34.5%,37.8%,18.2%,3.8,009213,"NDIAYE, ELI",20,https://media-cdn.incrowdsports.com/2ce6d0d0-375c-468c-8af4-40b1dfdcad00.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
48,56.0,15.357440476190476,60%,61.9%,4.2%,9.7%,6.9%,1.3,13.5%,10.1%,32.1%,38.9%,17.4%,4.8,001557,"GIFFEY, NIELS",33,https://media-cdn.incrowdsports.com/17f631c2-05c2-452f-9a39-3cb9533a0537.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
49,27.0,14.096913580246914,53.9%,54.2%,7.6%,17.3%,12.7%,0.9,11.6%,13.1%,42.4%,26.2%,22.5%,4.8,007630,"GARUBA, USMAN",22,https://media-cdn.incrowdsports.com/8e68d998-2bbb-462e-9892-57b2208ebbf8.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
50,22.0,11.150757575757575,51.1%,52.9%,14.4%,15.4%,14.9%,1.1,15.2%,14%,50.8%,8.9%,42.6%,3.6,006589,"SIKMA, LUKE",34,https://media-cdn.incrowdsports.com/ae703049-980c-4ddc-8c4f-f920ee5e7710.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
51,23.0,11.970289855072464,52.9%,54.3%,1.3%,7.5%,4.5%,1.2,18.9%,15.4%,19.5%,41.3%,18.4%,7.4,013378,"RATHAN-MAYES, XAVIER",30,https://media-cdn.incrowdsports.com/bf65131d-44d5-4015-95c5-7d78f133a5d0.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
52,23.0,15.357971014492755,50.6%,52.1%,7.3%,11.3%,9.3%,1.2,13.2%,11.5%,33.5%,34.4%,24.7%,4.9,011836,"MIKE, ISIAHA",27,https://media-cdn.incrowdsports.com/a1725eef-4b71-489c-ad65-3ace75faaa53.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
53,60.0,20.295277777777777,50.5%,53.4%,2.8%,5.5%,4.2%,1.6,19.9%,12.5%,36.9%,26.7%,14.2%,7.4,007513,"GIEDRAITIS, DOVYDAS",24,https://media-cdn.incrowdsports.com/8f1493eb-ebd5-4532-bc36-63e16ae94939.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
54,57.0,14.117543859649123,48.3%,50.8%,7.6%,13.6%,10.7%,1.2,10.4%,8.6%,43.1%,32.3%,16.7%,4.9,007464,"PARRA, JOEL",24,https://media-cdn.incrowdsports.com/344d80d5-23c4-441d-8f4c-5a5ed14a9999.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
55,68.0,12.638725490196078,55.4%,58.6%,7.1%,13.8%,10.4%,1.0,10.5%,10.5%,39.9%,31.6%,24%,5.5,002968,"SANLI, SERTAC",33,https://media-cdn.incrowdsports.com/253a34da-7f58-4354-a9a5-cc06507200c6.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
56,23.0,13.434782608695652,52.9%,57.5%,1.2%,9.3%,5.2%,0.9,18.3%,20.5%,29%,25%,30.6%,9.8,012787,"SUMNER, EDMOND",28,https://media-cdn.incrowdsports.com/f65b5cf1-6f7a-40c9-9100-5780c575e3dd.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
57,33.0,17.85959595959596,51.9%,53.1%,3.4%,7.2%,5.3%,1.7,19.8%,11.5%,31.6%,33.7%,11.7%,8.7,003211,"DIMSA, TOMAS",29,https://media-cdn.incrowdsports.com/f5a9303d-e74d-4955-8a7a-30ac7ec50c2c.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
58,34.0,16.351470588235294,51.6%,52.9%,2.2%,9.7%,6%,1.4,20.8%,14.6%,44.7%,13.9%,23%,7.6,013371,"HARRISON, SHAQUILLE",31,https://media-cdn.incrowdsports.com/d7172f56-4fad-490c-a0f5-cc2ac64a2ca9.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
59,23.0,13.681884057971015,46.1%,51%,7.3%,15.3%,11.3%,1.2,11.8%,9.4%,36.2%,33.9%,28.1%,5.5,013365,"BROWN, VITTO",29,https://media-cdn.incrowdsports.com/61800a63-45e8-44d5-9fce-9c519cc590e4.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
60,39.0,14.161538461538461,50.3%,54.4%,7.6%,6.5%,7.1%,1.5,11.6%,7.9%,44.8%,24.5%,36.5%,6.2,012744,"CLEVELAND, ANTONIUS",29,https://media-cdn.incrowdsports.com/ff56c399-8c7a-4744-9abc-7105f666168e.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
61,32.0,15.1984375,46.2%,47.5%,1%,8.7%,5.2%,2.8,40.7%,14.6%,17.6%,26%,5.5%,10.5,CVM,"RODRIGUEZ, SERGIO",37,https://media-cdn.incrowdsports.com/d605b7e7-d619-4620-93b1-5979b22592bc.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
