playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,price
104.0,37.0,7.0,22.48513513513513,10.4,1.5,3.0,51.4%,2.2,5.0,43.2%,0.8,1.0,83.3%,0.9,2.2,3.1,1.4,0.5,1.2,0.2,0.2,2.3,1.0,8.4,006961,"BIBEROVIC, TARIK",23.0,https://media-cdn.incrowdsports.com/bcefd4a2-4919-486a-a06a-44e5ac6efdf5.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png,8.2
49.0,36.0,19.0,13.665277777777778,3.5,1.3,2.3,58.5%,0.0,0.0,0%,0.8,1.1,72.5%,1.6,2.0,3.7,0.6,0.4,0.9,0.4,0.0,2.3,1.1,5.2,007182,"BIRCH, KHEM",32.0,https://media-cdn.incrowdsports.com/9d120639-c1cf-48ed-b711-e57190c36fe7.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png,7.1
54.0,34.0,17.0,13.02156862745098,5.3,2.1,3.4,63.5%,0.0,0.0,0%,1.0,1.7,59.6%,0.9,1.8,2.7,0.4,0.1,0.7,0.5,0.2,2.3,1.5,5.4,005504,"BIRUTIS, LAURYNAS",27.0,https://media-cdn.incrowdsports.com/b3a77237-9548-4094-8536-a910283e5184.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,"BITIM, ONURALP",,,,,,,7.0
21.0,28.0,0.0,10.33095238095238,3.7,1.5,2.1,68.3%,0.0,0.0,0%,0.8,1.4,57.9%,1.0,1.3,2.3,0.4,0.1,1.1,0.1,0.1,2.4,1.3,3.2,008991,"BLACK, TARIK",33.0,https://media-cdn.incrowdsports.com/31431122-8f94-41c1-ae56-2c34657c17c3.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BLAKENEY, ANTONIO",,,,,,,9.2
146.0,26.0,23.0,24.183333333333334,8.9,0.7,1.4,45.9%,2.0,5.7,35.6%,1.5,1.5,95%,0.4,2.0,2.4,6.7,0.5,2.9,0.0,0.2,1.3,2.1,11.7,011193,"BLATT, TAMIR",27.0,https://media-cdn.incrowdsports.com/cba0b06c-87ec-47ed-ad88-bf274bdb7477.png,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png,8.2
,,,,,,,,,,,,,,,,,,,,,,,,,,"BLAYZER, OZ",,,,,,,5.0
118.0,40.0,25.0,24.065,7.7,2.5,4.1,61.3%,0.6,1.9,31.2%,0.9,1.4,63.8%,1.3,2.8,4.1,0.5,0.4,0.4,0.2,0.2,2.0,2.2,9.1,011231,"BLOSSOMGAME, JARON",31.0,https://media-cdn.incrowdsports.com/8e6679e0-e62b-4838-bfa7-11bae0ac5ebb.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,8.2
112.0,25.0,18.0,22.40266666666667,6.9,2.4,4.6,50.9%,0.3,1.4,22.2%,1.2,1.8,67.4%,0.4,1.9,2.4,3.1,1.1,1.2,0.2,0.2,1.9,2.5,8.8,008985,"BOLMARO, LEANDRO",24.0,https://media-cdn.incrowdsports.com/ea51e519-2f07-44bf-ae25-3f3f825ba0c8.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"BOLOMBOY, JOEL",,,,,,,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,BONGA ISAAC,,,,,,,8.8
126.0,30.0,20.0,24.98,7.7,1.0,2.1,49.2%,1.4,3.4,41.2%,1.4,1.5,93.3%,1.5,2.9,4.5,1.1,0.7,0.7,0.5,0.1,2.1,1.4,9.8,006760,"BONGA, ISAAC",25.0,https://media-cdn.incrowdsports.com/974496ef-0137-405c-9ad9-37ef0d4e724a.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,
176.0,28.0,28.0,26.258333333333333,14.9,4.3,7.4,58.7%,1.1,2.8,40.5%,2.9,3.5,82.5%,1.8,2.9,4.7,1.6,0.7,1.6,0.2,0.3,2.7,3.9,16.2,007056,"BOOKER, DEVIN",33.0,https://media-cdn.incrowdsports.com/603a8758-e88a-4d71-935e-c73e1201ec7c.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"BOSNJAKOVIC, MITAR",,,,,,,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,"BOSTON, BRANDON",,,,,,,12.9
40.0,26.0,1.0,9.12948717948718,4.3,1.6,2.4,67.7%,0.1,0.3,25%,0.9,1.2,76.7%,1.0,1.1,2.2,0.2,0.3,0.5,0.5,0.0,1.9,0.8,4.6,007639,"BRANKOVIC, DANKO",24.0,https://media-cdn.incrowdsports.com/62e22400-6f30-4a28-9288-8df658855669.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,
91.0,29.0,18.0,17.655172413793103,8.2,2.5,4.8,52.2%,0.6,2.6,24%,1.3,1.5,88.6%,0.9,2.3,3.2,1.4,0.3,0.9,0.1,0.4,1.5,1.5,7.6,011983,"BRAZDEIKIS, IGNAS",25.0,https://media-cdn.incrowdsports.com/a42240f4-090a-4427-8daf-ffc7e3006afb.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,"BRISSETT, OSHAE",,,,,,,12.4
105.0,36.0,0.0,18.34583333333333,10.0,1.8,3.4,53.3%,1.8,3.9,46%,1.1,1.4,79.6%,0.3,1.1,1.4,2.2,0.4,1.3,0.1,0.3,2.0,1.9,8.4,009992,"BRIZUELA, DARIO",30.0,https://media-cdn.incrowdsports.com/ff80e53b-0a60-416b-aa0a-3435c3ddb3d1.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,8.1
63.0,32.0,3.0,15.011979166666666,7.6,1.0,2.2,45.8%,1.6,3.8,41.3%,0.9,0.9,96.6%,0.4,1.6,2.0,0.8,0.5,0.5,0.1,0.2,1.4,0.7,6.1,013384,"BROOKS, ARMONI",26.0,https://media-cdn.incrowdsports.com/aad0e402-ea32-4e04-8741-f488f652c9c1.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png,7.5
92.0,38.0,11.0,14.914473684210526,6.3,1.6,3.1,53.4%,0.7,2.1,33.3%,0.9,1.1,80.5%,0.3,1.7,2.0,2.7,0.8,1.3,0.1,0.1,1.1,1.3,7.6,009622,"BROWN, LORENZO",34.0,https://media-cdn.incrowdsports.com/6094f620-9518-4136-a1a1-06b77c6ee708.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,10.6
140.0,34.0,30.0,25.762254901960784,12.4,2.6,4.5,57.5%,2.0,4.3,46.9%,1.1,1.2,92.9%,0.7,2.4,3.0,2.1,0.8,1.4,0.2,0.4,2.1,1.3,11.5,012720,"BROWN, STERLING",29.0,https://media-cdn.incrowdsports.com/480c3017-7a86-42e5-a480-bfbde5207644.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,10.4
36.0,23.0,11.0,13.681884057971017,4.4,1.0,2.0,50%,0.5,1.9,27.9%,0.9,1.1,80%,0.8,1.7,2.5,0.7,0.4,0.5,0.2,0.1,1.5,0.8,4.4,013365,"BROWN, VITTO",29.0,https://media-cdn.incrowdsports.com/61800a63-45e8-44d5-9fce-9c519cc590e4.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,
167.0,38.0,31.0,27.03245614035088,13.8,3.4,6.9,49%,1.5,4.1,36.5%,2.6,2.9,90%,0.6,3.6,4.2,3.1,1.2,2.2,0.2,0.5,2.7,3.7,14.4,009846,"BRYANT, ELIJAH",29.0,https://media-cdn.incrowdsports.com/884c7881-bc0b-4b2c-b95f-3f1abf3a8fa7.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png,13.0
68.0,33.0,17.0,22.01313131313131,4.5,0.6,1.3,46.5%,0.8,2.2,38%,0.8,1.1,74.3%,0.9,2.8,3.7,1.2,1.0,0.7,0.3,0.2,2.5,1.6,6.5,002676,"BUTKEVICIUS, ARNAS",32.0,https://media-cdn.incrowdsports.com/b080f644-df17-416a-b647-cb2fae3f3fd1.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,"CABOCLO, BRUNO",,,,,,,10.4
,,,,,,,,,,,,,,,,,,,,,,,,,,"CALATHES, NICK",,,,,,,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,"CALE, MYLES",,,,,,,8.0
182.0,39.0,33.0,25.74017094017094,12.0,2.3,4.0,56.1%,1.3,3.9,33.8%,3.5,4.0,86%,0.7,2.4,3.1,6.0,1.0,2.3,0.1,0.4,2.2,5.2,17.5,005928,"CAMPAZZO, FACUNDO",33.0,https://media-cdn.incrowdsports.com/3d4b3199-c570-491d-b1cf-76f82c2e229c.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,15.0
70.0,35.0,8.0,21.01904761904762,10.0,1.3,2.7,46.8%,2.0,5.2,38.3%,1.5,1.7,86.4%,0.3,1.1,1.5,1.3,0.6,0.9,0.0,0.2,1.9,1.2,6.7,010612,"CANAAN, ISAIAH",33.0,https://media-cdn.incrowdsports.com/fdbe31b3-5c83-4daf-93b7-36ee2ada05d0.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"CANCAR, VLATKO",,,,,,,11.2
,,,,,,,,,,,,,,,,,,,,,,,,,,"CANKA, ABRAMO",,,,,,,4.9
,,,,,,,,,,,,,,,,,,,,,,,,,,"CARTER, TYSON",,,,,,,9.3
17.0,22.0,1.0,7.782575757575757,2.6,1.1,1.5,75.8%,0.0,0.0,0%,0.4,0.5,66.7%,0.9,0.6,1.5,0.3,0.2,0.4,0.5,0.2,1.8,0.6,2.7,006721,"CARUSO, GUGLIELMO",25.0,https://media-cdn.incrowdsports.com/29cec6e2-585d-42db-99e3-da503d3ada8e.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png,
127.0,22.0,2.0,21.018181818181816,8.3,1.5,2.6,59.6%,1.3,2.4,52.8%,1.4,1.8,76.9%,0.6,2.1,2.8,1.7,1.0,0.9,0.1,0.2,2.0,1.6,9.9,001392,"CAUSEUR, FABIEN",37.0,https://media-cdn.incrowdsports.com/c02a4dc6-4b7f-4b9e-89ae-10a8ed78fd34.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png,
25.0,36.0,0.0,10.934722222222222,2.8,1.0,1.6,64.9%,0.1,0.3,40%,0.4,0.6,72.7%,1.1,1.7,2.7,0.4,0.2,0.5,0.0,0.0,1.9,0.9,3.7,013373,"CAVALIERE, LEOPOLD",28.0,https://media-cdn.incrowdsports.com/f24384c7-9fbd-4d01-a2e8-40f94f2cd1ec.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,"CLARK III, JIMMY",,,,,,,9.3
171.0,24.0,24.0,27.43055555555556,13.8,3.2,6.1,51.7%,1.8,5.2,34.1%,2.0,2.5,81.7%,1.0,3.7,4.7,2.4,1.1,1.4,0.2,0.2,1.5,3.3,15.4,004888,"CLYBURN, WILL",34.0,https://media-cdn.incrowdsports.com/48bf0f02-5fb5-4baa-8065-f76661612dc0.png,VIR,VIR,Virtus Segafredo Bologna,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png,13.0
12.0,23.0,0.0,9.506521739130434,2.8,0.7,1.2,57.1%,0.2,0.7,33.3%,0.7,0.7,100%,0.6,0.9,1.5,0.4,0.1,0.6,0.0,0.2,1.1,0.6,2.6,005145,"COHEN, JAKE",34.0,https://media-cdn.incrowdsports.com/e8d3f0dc-cce9-4329-9d5b-03c76519199d.png,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png,
73.0,39.0,35.0,18.449572649572648,6.7,1.7,3.5,47.8%,0.9,2.5,35.7%,0.6,1.0,65.8%,1.1,2.4,3.5,0.5,0.6,0.8,0.3,0.1,1.4,1.3,6.8,009783,"COLSON, BONZIE",28.0,https://media-cdn.incrowdsports.com/8ac181cc-9967-4cd4-839e-7bc6b4bfcb4a.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png,9.3
163.0,34.0,31.0,26.9156862745098,12.0,3.4,6.1,56.8%,0.8,3.0,27.7%,2.7,3.4,79.8%,1.0,2.9,3.9,3.9,0.7,2.0,0.3,0.2,2.8,3.3,13.6,009549,"CORDINIER, ISAIA",28.0,https://media-cdn.incrowdsports.com/e3fac696-389b-4586-8dac-0ecf02251464.png,VIR,VIR,Virtus Segafredo Bologna,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png,10.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"COSTELLO, MATTHEW",,,,,,,10.6
