playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
89,58.0,51.0,24.25862068965517,10.5,3.9,6.0,64.6%,0.5,1.7,29.7%,1.2,1.8,65.7%,1.7,3.5,5.2,1.4,0.9,1.1,0.1,0.4,2.1,2.0,12.4,010550,"GINAT, TOMER"
90,34.0,17.0,19.903921568627453,7.7,3.1,5.5,55.6%,0.0,0.3,0%,1.6,2.5,63.5%,2.4,4.2,6.6,1.1,0.4,0.7,0.2,0.4,1.8,2.9,12.4,004222,"OMIC, ALEN"
91,51.0,27.0,19.86045751633987,10.2,4.2,6.3,67%,0.0,0.0,0%,1.7,3.4,52%,1.9,2.2,4.2,2.5,0.4,1.8,0.2,0.1,3.2,3.9,12.5,005113,"STIPANOVIC, ANDRIJA"
92,37.0,21.0,22.847747747747743,11.1,3.5,5.7,61.1%,0.7,2.0,35.6%,2.1,2.5,80.9%,1.6,3.2,4.8,0.9,0.6,1.9,1.3,0.2,2.6,2.5,12.5,011935,"MAKOUNDOU, YOAN"
93,37.0,29.0,25.339189189189188,12.7,2.4,4.7,50.3%,1.6,4.4,36.4%,3.2,4.2,76%,0.4,3.6,4.0,1.2,0.6,1.9,0.0,0.4,1.2,3.7,12.6,003452,"BLAZIC, JAKA"
94,29.0,26.0,26.736781609195404,10.6,1.6,2.9,55.4%,1.8,4.7,37.8%,2.2,2.6,82.9%,0.3,2.4,2.7,5.1,1.3,2.1,0.1,0.1,2.5,2.7,13.1,004381,"SPISSU, MARCO"
95,41.0,40.0,23.867073170731707,11.8,2.9,5.0,56.5%,1.4,3.8,37.2%,1.9,2.4,79.4%,1.0,3.4,4.4,1.6,1.4,1.3,0.4,0.1,2.4,2.3,13.2,011836,"MIKE, ISIAHA"
96,38.0,31.0,22.882894736842104,12.7,3.6,7.1,50.4%,1.0,3.2,30.1%,2.7,3.7,72.1%,1.2,3.1,4.3,4.1,1.7,2.2,0.1,0.7,3.0,3.4,13.4,011944,"AGADA, CALEB"
97,35.0,15.0,25.790476190476188,14.1,2.3,5.3,42.8%,1.7,4.9,34.9%,4.3,4.8,91%,0.3,1.9,2.2,3.2,1.0,1.9,0.1,0.2,2.6,4.3,13.4,011248,"ANDREWS, ANDREW"
98,34.0,30.0,24.309803921568623,12.5,3.8,6.2,61.6%,0.7,1.8,40.3%,2.6,3.4,78.3%,1.4,3.4,4.8,1.6,0.6,2.3,0.6,0.4,2.6,3.5,14.1,011168,"DZIEWA, ALEKSANDER"
