NAME_KEY,competition
175,EuroCup
176,EuroCup
177,EuroCup
178,EuroCup
179,EuroCup
180,EuroCup
181,EuroCup
182,EuroCup
183,EuroCup
184,EuroCup
185,EuroCup
186,EuroCup
187,EuroCup
188,EuroCup
