player.name,gamesPlayed,minutesPlayed,pointsScored,totalRebounds,assists,steals,blocks,turnovers,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage,pir,price
"VESELY, JAN",100.0,21.012166666666666,10.4,4.0,1.5,1.0,0.4,1.1,59.2,39.1,78.9,12.8,11.1
"THOMPSON, DARIUS",108.0,26.41172839506173,10.9,2.4,4.6,1.2,0.5,1.8,54.1,38.7,79.3,12.7,11.0
,,,,,,,,,,,,,11.0
,,,,,,,,,,,,,10.9
"DIALLO, ALPHA",114.0,26.04078947368421,10.9,4.1,1.8,1.1,0.3,1.2,55.6,36.9,73.0,11.7,10.8
"CORDINIER, ISAIA",84.0,23.20297619047619,9.5,3.5,2.9,0.8,0.3,1.7,56.6,28.9,79.2,10.8,10.8
,,,,,,,,,,,,,10.8
"DECK, GABRIEL",87.0,23.629310344827587,9.8,4.0,1.5,0.5,0.1,1.1,64.4,36.4,80.3,11.6,10.7
"SEDEKERSKIS, TADAS",83.0,24.207831325301203,7.6,5.4,1.4,0.5,0.2,0.8,66.4,40.2,80.5,12.3,10.7
"BROWN, LORENZO",111.0,25.1018018018018,11.8,2.6,4.7,1.0,0.1,2.3,48.7,34.6,87.1,12.2,10.6
"FALL, MOUSTAPHA",111.0,20.734384384384388,6.8,4.2,2.1,0.4,0.9,1.2,74.8,0.0,46.2,11.4,10.6
"COSTELLO, MATTHEW",67.0,21.10771144278607,9.5,4.2,1.6,0.6,0.9,1.1,65.0,33.7,70.0,10.5,10.6
"MILLER-MCINTYRE, CODI",74.0,27.553603603603605,9.9,3.8,6.0,0.8,0.0,2.4,53.5,29.9,70.3,12.6,10.5
"PETERS, ALEC",117.0,18.497578347578347,8.7,3.3,0.9,0.4,0.1,0.8,55.2,50.2,91.4,9.4,10.5
,,,,,,,,,,,,,10.5
"OJELEYE, SEMI",51.0,22.829738562091503,12.0,4.2,0.5,0.7,0.2,1.2,54.1,46.6,86.9,12.6,10.5
,,,,,,,,,,,,,10.5
,,,,,,,,,,,,,10.4
"BROWN, STERLING",63.0,25.00740740740741,11.9,3.1,2.2,0.8,0.2,1.7,52.1,41.1,92.9,10.2,10.4
"WEILER-BABB, NICK",99.0,24.49090909090909,7.4,3.6,3.1,1.0,0.1,1.1,49.5,38.5,77.6,9.3,10.4
,,,,,,,,,,,,,10.4
"BALDWIN IV, WADE",91.0,26.75311355311356,15.5,3.0,4.6,0.9,0.2,2.5,49.5,34.1,82.8,16.1,10.3
,,,,,,,,,,,,,10.3
"OTURU, DAN",60.0,16.176944444444445,8.2,4.0,0.5,0.4,1.0,1.0,70.5,0.0,65.4,10.3,10.3
,,,,,,,,,,,,,10.3
"SORKIN, ROMAN",101.0,18.435808580858087,8.8,3.5,0.8,0.4,0.6,1.0,60.6,33.1,78.1,9.1,10.2
"SATORANSKY, TOMAS",114.0,24.39327485380117,7.1,3.8,4.5,0.9,0.1,1.6,51.6,39.8,74.8,11.2,10.1
"RIVERO, JASIEL",84.0,18.051388888888887,8.7,3.5,0.9,0.7,0.3,1.1,58.5,28.1,65.7,9.7,10.1
