playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocks_against,personal_fouls,fouls_drawn,pir,player.code,player_name,age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl,base_fantasy_points,fantasy_points,fantasy_per_minute,captain_score,captain_fantasy_points,estimated_position,defensive_score
46,65.0,25.0,17.818461538461538,4.9,1.2,2.0,58.6%,0.7,2.6,27.1%,0.4,0.7,56.2%,0.9,1.8,2.7,0.5,0.3,0.7,0.1,0.2,2.0,1.1,3.8,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,6.700000000000002,6.700000000000002,0.3760145052667934,17.305179487179487,13.400000000000004,Forward,0.4
47,48.0,32.0,12.629166666666668,3.2,0.7,1.3,55.6%,0.5,1.4,33.3%,0.3,0.5,66.7%,0.8,1.6,2.4,0.5,0.5,0.3,0.1,0.1,1.5,0.7,3.8,009213,"NDIAYE, ELI",20,https://media-cdn.incrowdsports.com/2ce6d0d0-375c-468c-8af4-40b1dfdcad00.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,5.5,5.5,0.4354998350379412,13.112916666666667,11.0,Forward,0.6
48,56.0,15.0,15.357440476190476,4.5,0.8,1.5,52.3%,0.8,1.9,44.2%,0.4,0.6,75.8%,0.5,1.2,1.8,0.6,0.3,0.5,0.1,0.1,1.9,0.9,3.8,001557,"GIFFEY, NIELS",33,https://media-cdn.incrowdsports.com/17f631c2-05c2-452f-9a39-3cb9533a0537.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,5.699999999999999,5.699999999999999,0.3711555977597333,14.859077380952382,11.399999999999999,Forward,0.4
49,27.0,9.0,14.096913580246914,3.9,1.3,2.0,65.5%,0.3,1.3,23.5%,0.4,0.7,50%,0.9,2.2,3.1,0.6,0.6,0.6,0.4,0.2,2.6,0.6,3.8,007630,"GARUBA, USMAN",22,https://media-cdn.incrowdsports.com/8e68d998-2bbb-462e-9892-57b2208ebbf8.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,5.8,5.8,0.41143757936681696,9.96969135802469,11.6,Forward,1.0
50,22.0,4.0,11.150757575757575,2.7,1.0,1.8,52.5%,0.1,0.3,28.6%,0.5,0.9,55%,1.3,1.4,2.7,0.5,0.4,0.5,0.2,0.2,1.6,1.1,3.8,006589,"SIKMA, LUKE",34,https://media-cdn.incrowdsports.com/ae703049-980c-4ddc-8c4f-f920ee5e7710.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,5.300000000000002,5.300000000000002,0.47530402880630496,8.491742424242425,10.600000000000003,Forward,0.6000000000000001
51,23.0,5.0,11.970289855072464,5.3,0.7,1.4,51.5%,1.1,3.0,35.7%,0.5,0.8,63.2%,0.1,0.8,0.9,1.4,0.5,1.1,0.0,0.1,1.4,1.4,3.9,013378,"RATHAN-MAYES, XAVIER",30,https://media-cdn.incrowdsports.com/bf65131d-44d5-4015-95c5-7d78f133a5d0.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,6.9,6.9,0.5764271445002724,9.860362318840581,13.8,Forward,0.5
52,23.0,13.0,15.357971014492756,3.9,1.0,1.7,63.2%,0.4,1.7,25.6%,0.5,0.8,57.9%,1.0,1.4,2.4,0.7,0.6,0.6,0.1,0.1,1.8,1.0,4.0,011836,"MIKE, ISIAHA",27,https://media-cdn.incrowdsports.com/a1725eef-4b71-489c-ad65-3ace75faaa53.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,6.2,6.2,0.4036991601396621,9.70913043478261,12.4,Forward,0.7
53,60.0,37.0,20.295277777777777,5.3,1.2,2.7,42.9%,0.8,2.0,40.7%,0.6,0.7,87.5%,0.5,0.9,1.4,1.5,0.8,0.9,0.0,0.3,1.9,0.9,4.0,007513,"GIEDRAITIS, DOVYDAS",24,https://media-cdn.incrowdsports.com/8f1493eb-ebd5-4532-bc36-63e16ae94939.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,6.8,6.8,0.3350533101569878,16.789527777777778,13.6,Guard,0.8
54,57.0,7.0,14.117543859649125,4.0,1.2,2.1,55.8%,0.4,1.6,25.6%,0.5,0.6,74.3%,0.9,1.7,2.5,0.5,0.4,0.4,0.1,0.1,1.4,0.8,4.2,007464,"PARRA, JOEL",24,https://media-cdn.incrowdsports.com/344d80d5-23c4-441d-8f4c-5a5ed14a9999.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,6.4,6.4,0.4533366471977134,15.391754385964912,12.8,Forward,0.5
55,68.0,33.0,12.638725490196078,5.1,1.2,2.2,57%,0.6,1.7,35.6%,0.7,0.9,78.1%,0.8,1.4,2.2,0.6,0.3,0.6,0.4,0.1,2.4,1.1,4.3,002968,"SANLI, SERTAC",33,https://media-cdn.incrowdsports.com/253a34da-7f58-4354-a9a5-cc06507200c6.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,6.6,6.6,0.5222045533878912,17.21720588235294,13.2,Forward,0.7
