playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,league
106,44.0,33.0,26.63409090909091,14.3,2.6,4.7,55.6%,2.0,5.5,37.1%,3.0,3.3,90.5%,0.3,2.0,2.3,4.3,0.9,1.8,0.0,0.2,1.8,4.2,16.4,011281,"FERRELL, YOGI",EuroCup
107,37.0,37.0,27.437387387387385,10.0,3.8,5.8,65.9%,0.0,0.3,10%,2.3,3.2,71.4%,2.6,4.5,7.1,1.0,0.8,1.1,1.9,0.3,2.3,3.0,16.9,011973,"ALEXANDER, KYLE",EuroCup
108,40.0,22.0,24.20083333333333,10.5,3.9,6.0,64.6%,0.2,0.5,38.1%,2.1,3.1,69.1%,2.8,5.2,8.0,1.9,0.6,1.6,1.0,0.4,2.1,3.0,17.6,002644,"BALVIN, ONDREJ",EuroCup
109,34.0,33.0,31.42303921568628,16.9,3.8,7.5,50.8%,1.9,5.7,34.2%,3.5,4.3,80.8%,0.6,3.3,3.9,4.4,1.6,2.9,0.3,0.5,2.5,4.8,17.8,011925,"WALLACE, TYRONE",EuroCup
1,57.0,33.0,14.334795321637428,2.4,0.3,0.7,39%,0.5,1.3,40.8%,0.2,0.3,82.4%,0.5,0.7,1.2,0.4,0.5,0.4,0.0,0.1,2.4,0.7,1.2,LUO,"LAZIC, BRANKO",EuroLeague
2,71.0,8.0,12.70093896713615,2.8,0.2,0.6,37.2%,0.7,2.2,32.1%,0.2,0.2,93.8%,0.1,0.6,0.7,0.6,0.5,0.3,0.0,0.1,1.7,0.9,1.5,007025,"MATTISSECK, JONAS",EuroLeague
3,87.0,17.0,7.1432950191570885,2.1,0.5,0.9,59.7%,0.2,0.7,30.2%,0.4,0.5,73.8%,0.3,0.6,0.9,0.3,0.4,0.3,0.0,0.1,1.1,0.6,1.8,011209,"KALAITZAKIS, PANAGIOTIS",EuroLeague
4,83.0,22.0,11.285341365461846,2.5,0.4,0.7,59.3%,0.5,1.4,35.7%,0.2,0.2,81.2%,0.6,1.4,2.0,0.3,0.4,0.3,0.2,0.0,2.0,0.3,2.2,001518,"RICCI, GIAMPAOLO",EuroLeague
5,86.0,48.0,10.702131782945736,2.9,0.7,1.2,57.9%,0.4,1.1,33%,0.4,0.4,91.9%,0.4,1.1,1.5,0.9,0.2,0.5,0.0,0.1,1.7,0.7,2.5,005145,"COHEN, JAKE",EuroLeague
6,96.0,52.0,12.718055555555557,4.1,0.8,1.5,54.6%,0.8,2.1,36.1%,0.2,0.3,78.6%,0.5,0.9,1.4,0.2,0.3,0.3,0.0,0.1,1.2,0.3,2.7,004197,"OUATTARA, YAKUBA",EuroLeague
7,69.0,11.0,12.956280193236717,4.0,0.8,1.9,43.8%,0.5,1.8,27%,0.9,1.1,76.9%,0.3,0.8,1.0,1.5,0.4,0.8,0.0,0.1,1.8,1.5,3.1,004058,"JARAMAZ, OGNJEN",EuroLeague
8,55.0,20.0,10.75848484848485,2.5,0.2,0.3,63.2%,0.7,1.5,43.4%,0.1,0.2,72.7%,0.4,1.6,1.9,0.5,0.3,0.2,0.0,0.0,1.0,0.3,3.2,003198,"DIEZ, DANIEL",EuroLeague
