playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
115,24.0,26.999305555555555,51.1%,54.7%,2.6%,13.7%,8.3%,1.6,21.2%,12.9%,22.2%,37.6%,23.1%,13.0,008121,"BRUSSINO, NICOLAS",31,https://media-cdn.incrowdsports.com/aba56008-559a-461e-b5a5-2edd7a1415a5.png,CAN,DGC,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
116,25.0,16.505333333333333,69%,70.6%,10.8%,18.2%,14.6%,0.9,14.1%,15.6%,58.2%,0%,47.4%,8.0,012016,"CONDITT IV, GEORGE",24,https://media-cdn.incrowdsports.com/411c98e4-6d6e-4c5b-bf3f-619ab920b651.png,CAN,DGC,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
117,16.0,19.160416666666666,60.6%,61.6%,10.5%,15.6%,13%,2.1,30%,14.4%,42.6%,0%,69%,10.4,005113,"STIPANOVIC, ANDRIJA",38,https://media-cdn.incrowdsports.com/cbda2bd9-5ebc-409c-a47e-2acf455b8a38.png,LKB;LJU,LIE;COL,Lietkabelis Panevezys ;KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/dc1684fc-b1ad-494f-a7ed-54f5998fcb36.png;https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
118,18.0,27.223148148148148,50.4%,55.7%,4.2%,10.9%,7.5%,1.4,15.7%,11.1%,27.2%,35.1%,40%,12.0,006625,"ZOOSMAN, YOVEL",26,https://media-cdn.incrowdsports.com/db31839e-5e4a-4af1-bdfa-5dd0188962ee.png,JER,JLM,Hapoel Jerusalem Basketball Club,https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png
119,21.0,23.174603174603174,45%,52.7%,2%,9.3%,5.7%,2.4,22.4%,9.3%,37.4%,16%,63.3%,13.4,011201,"HAZER, SEHMUS",25,https://media-cdn.incrowdsports.com/966c7564-e933-42de-b49f-c81f65b20e88.png,BAH,BKS,Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
120,19.0,21.49298245614035,46.1%,54.8%,1.6%,16.6%,9.1%,0.8,9.1%,12%,28.8%,33.1%,62%,11.0,003452,"BLAZIC, JAKA",34,https://media-cdn.incrowdsports.com/9ef061f7-37f1-418a-abcd-c2859609b6ee.png,LJU,COL,KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
121,24.0,23.615277777777777,57.3%,59.2%,6.8%,16.7%,12%,1.5,14.3%,9.7%,45%,24%,23.2%,9.9,010550,"GINAT, TOMER",30,https://media-cdn.incrowdsports.com/4ee7d2fa-8299-4522-be3e-cab3009c2a1f.png,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png
122,17.0,19.707843137254905,62.8%,64.6%,7.6%,14.3%,10.7%,1.6,31.2%,20%,33.3%,10.8%,24.4%,11.5,006904,"AYAYI, JOEL",24,https://media-cdn.incrowdsports.com/a1e6e5a3-6fbe-417b-a2d5-9ed6516af396.png,BOU,JLB,JL Bourg,https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png
123,16.0,25.130208333333332,49.6%,56%,7.6%,17.9%,12.9%,0.6,10.5%,16.2%,48.7%,16.2%,29.4%,13.1,011909,"PARKS, JORDAN",30,https://media-cdn.incrowdsports.com/449befd0-a2a1-47e9-a7df-86c170244f6a.png,VNC,URV,Umana Reyer Venice,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
124,13.0,27.515384615384615,54.5%,60.6%,3.8%,13.1%,8.2%,1.0,17.6%,18.3%,36.6%,13.7%,62.3%,11.8,005422,"JALLOW, KARIM",27,https://media-cdn.incrowdsports.com/477f9093-9b89-427c-8c45-6a7650eff69e.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
125,19.0,23.228070175438596,58.8%,63.3%,8.6%,9.4%,9%,1.0,10.2%,10.7%,41.4%,25.5%,41.2%,10.3,011927,"SLEVA, DUSTIN",29,https://media-cdn.incrowdsports.com/bb20c519-092d-48d8-a591-0f54264afbfd.png,BES,BJK,Besiktas Istanbul,https://media-cdn.incrowdsports.com/791d8d03-da9c-4243-8342-ed6937f54762.png
126,13.0,25.24871794871795,49.1%,55.8%,2.7%,9.5%,5.9%,1.0,11.7%,11.1%,26.7%,38.3%,42.7%,13.8,009299,"RUBSTAVICIUS, MANTAS",22,https://media-cdn.incrowdsports.com/6e494d22-5464-434f-9d73-1ecddb81e0d1.png,LKB,LIE,Lietkabelis Panevezys ,https://media-cdn.incrowdsports.com/dc1684fc-b1ad-494f-a7ed-54f5998fcb36.png
127,19.0,21.879824561403506,56.5%,62.6%,6%,15.8%,11%,1.0,10.1%,10.5%,34.6%,32.9%,40.3%,12.0,012577,"THURMAN, TRE'SHAWN",29,https://media-cdn.incrowdsports.com/808d1e7c-37ed-4ac5-bd8e-8a1d948d56b6.png,WOL,WLV,BC Wolves Vilnius,https://media-cdn.incrowdsports.com/bab91c74-fc2e-4176-9db5-06f40e0e6759.png
128,20.0,24.1325,51.4%,59.6%,1.2%,7.2%,4.2%,1.9,26.4%,13.9%,17.1%,32.1%,47.8%,14.0,003703,"NIKOLIC, ALEKSEJ",29,https://media-cdn.incrowdsports.com/316b0e87-df4b-4681-a331-d65952c65fe9.png,LJU,COL,KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
129,16.0,24.417708333333334,44.6%,49.3%,2.8%,7.9%,5.2%,1.8,23%,12.4%,43.8%,14%,26.9%,20.1,011437,"SARAF, BEN",18,https://media-cdn.incrowdsports.com/bd981878-2c8f-42fe-bf2d-23d72dc06774.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
130,24.0,24.047916666666666,64.7%,65.2%,4.3%,9%,6.8%,1.0,11.2%,10.9%,38.6%,33.6%,17.7%,13.4,010386,"FOSTER, MARCUS",29,https://media-cdn.incrowdsports.com/109bd6d0-cc37-4e4e-9fc4-6be18d520003.png,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png
131,17.0,22.67843137254902,59.6%,63.8%,2.2%,6.5%,4.4%,1.9,22.1%,11.5%,29.8%,29.8%,25.7%,13.8,012740,"ROBERTSON, KASSIUS",30,https://media-cdn.incrowdsports.com/5aa7f467-8fe2-45db-97e5-2fbff4d3a1b9.png,JOV,CJB,Club Joventut Badalona,https://media-cdn.incrowdsports.com/4867b9ca-abc6-48fd-a47f-011904a74bf8.png
132,18.0,21.635185185185186,46.2%,51.6%,2.8%,14%,8.3%,2.1,26.6%,12.4%,39.1%,15.2%,28%,16.1,012606,"WRIGHT IV, MCKINLEY",26,https://media-cdn.incrowdsports.com/c1c17c4f-deb7-44c1-8593-ed9af8d5cdb9.png,BUD,BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
133,18.0,18.67685185185185,70.8%,73.7%,8.1%,20.1%,14.2%,0.6,10.9%,18.2%,58.3%,0%,49%,9.1,008186,"BLAZEVIC, MAREK",23,https://media-cdn.incrowdsports.com/e3c0623a-0b8a-4f1b-8f01-cb70c9a64873.png,WOL,WLV,BC Wolves Vilnius,https://media-cdn.incrowdsports.com/bab91c74-fc2e-4176-9db5-06f40e0e6759.png
134,18.0,19.041666666666668,62.3%,68%,7.4%,16%,11.7%,0.2,3.6%,19%,62.4%,0.6%,51.9%,9.3,004834,"PUSTOVYI, ARTEM",32,https://media-cdn.incrowdsports.com/6af02b42-60cf-4293-b7d4-2c92b7c5b4dd.png,JOV,CJB,Club Joventut Badalona,https://media-cdn.incrowdsports.com/4867b9ca-abc6-48fd-a47f-011904a74bf8.png
135,20.0,19.693333333333335,55.8%,60.6%,3.1%,10.8%,7%,1.6,25.7%,16.1%,36.7%,13.7%,35.4%,14.6,013260,"JONES, DEVANTE",26,https://media-cdn.incrowdsports.com/cb585bf7-0d29-43e6-bd42-8cf2564551a2.png,LJU,COL,KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
136,13.0,20.814102564102562,57%,60.9%,8.2%,19.1%,13.6%,0.7,9.8%,14.3%,43.6%,21.1%,39.5%,10.2,013297,"WEATHERS, MARCUS",27,https://media-cdn.incrowdsports.com/235e74ae-efa4-4912-9f11-4ce3612e1da8.png,TSO,SOP,Trefl Sopot,https://media-cdn.incrowdsports.com/9ef7b3dd-9f80-4639-964d-9db4dfe436ee.png
137,16.0,20.469791666666666,58.4%,62.4%,4.1%,17.7%,11%,1.3,21.4%,16.1%,31%,18.5%,60.2%,10.5,004172,"PONITKA, MATEUSZ",31,https://media-cdn.incrowdsports.com/ff57c5a3-cbb1-4453-947e-8e843f9faea1.png,BAH,BKS,Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
138,19.0,22.96315789473684,50%,57.2%,2.6%,12.5%,7.2%,1.5,22.6%,15.2%,32.8%,14.5%,72.4%,14.9,011924,"ALLMAN, KYLE",27,https://media-cdn.incrowdsports.com/8509537c-0e40-451b-b6c8-0d7ed53c05df.png,BES,BJK,Besiktas Istanbul,https://media-cdn.incrowdsports.com/791d8d03-da9c-4243-8342-ed6937f54762.png
139,15.0,25.561111111111114,48.7%,53.3%,2.6%,7.7%,5%,2.8,26.1%,9.2%,29.4%,27.9%,29.5%,18.1,013247,"KOVLIAR, OLEKSANDR",22,https://media-cdn.incrowdsports.com/4d20a195-1785-40cc-b3ca-7b839c372c90.png,LKB,LIE,Lietkabelis Panevezys ,https://media-cdn.incrowdsports.com/dc1684fc-b1ad-494f-a7ed-54f5998fcb36.png
140,19.0,25.453508771929826,41.8%,48.1%,4.8%,16.4%,10.5%,1.4,24.2%,16.8%,27.1%,22%,46.3%,14.4,009649,"PHILLIP, TARIK",31,https://media-cdn.incrowdsports.com/f964e5b5-ced6-4b26-a638-e27d2eec3082.png,TSO;JER,SOP;JLM,Trefl Sopot;Hapoel Jerusalem Basketball Club,https://media-cdn.incrowdsports.com/9ef7b3dd-9f80-4639-964d-9db4dfe436ee.png;https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png
141,18.0,25.06851851851852,47.7%,51.8%,3.2%,9.5%,6.3%,1.4,24.3%,17.4%,20.7%,31.2%,27.7%,18.5,013308,"IVEY, BRAE",28,https://media-cdn.incrowdsports.com/b345f755-b6e2-4407-bf4f-d3b43200d1c3.png,HAM,HAM,Hamburg Towers,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png
142,18.0,23.87037037037037,55.4%,59.3%,2.4%,13.1%,7.9%,1.2,16.1%,12.9%,38.4%,23.5%,33.5%,14.2,012698,"MOKOKA, ADAM",26,https://media-cdn.incrowdsports.com/809d5e44-ef1b-4352-a2b5-df756bf849f9.png,CLU,UBT,U-BT Cluj-Napoca,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png
143,18.0,21.20462962962963,50.6%,56.2%,4%,13.9%,9.1%,1.6,12%,7.3%,37.2%,34.7%,28%,13.0,008052,"WILTJER, KYLE",32,https://media-cdn.incrowdsports.com/6d8afeb7-1750-4a0b-bf4c-69a4ad4fd655.png,VNC,URV,Umana Reyer Venice,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
144,17.0,26.17549019607843,50.2%,54.1%,1.3%,11.4%,6.1%,1.2,12.9%,10.7%,39.7%,27.7%,29.9%,18.7,011936,"MATHEWS, JONAH",26,https://media-cdn.incrowdsports.com/6e5002a2-5313-4940-bf0b-3f3ac7d7e44f.png,BES,BJK,Besiktas Istanbul,https://media-cdn.incrowdsports.com/791d8d03-da9c-4243-8342-ed6937f54762.png
145,15.0,23.45,68.6%,70.7%,5%,17%,10.9%,1.1,18%,16.6%,28.6%,23.3%,59%,10.0,013256,"MORGAN, JUWAN",27,https://media-cdn.incrowdsports.com/96517234-e117-4580-9fa7-2d019f630a19.png,BUD,BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
146,22.0,27.41287878787879,58.6%,59.6%,4.6%,15.9%,10.3%,1.7,10.9%,6.5%,41.6%,35.5%,16.2%,11.3,003840,"BOUTEILLE, AXEL",29,https://media-cdn.incrowdsports.com/64a65242-aff5-4094-b02f-c9c3eb154a8d.png,BAH,BKS,Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
147,21.0,21.034920634920635,74.2%,75%,8%,21.3%,14.8%,1.4,22.8%,16%,42.2%,12%,29.5%,8.3,010393,"PRADILLA, JAIME",23,https://media-cdn.incrowdsports.com/9c8c8d4f-31d8-4c05-bf26-60334b55cf5d.png,PAM,VBC,Valencia Basket,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png
148,18.0,26.641666666666666,47.1%,52%,3.2%,13.4%,8.3%,0.8,13.8%,16.5%,31.5%,30%,30.1%,18.9,013272,"LAMB, ANTHONY",26,https://media-cdn.incrowdsports.com/2f927a8b-0dcb-4018-86ad-6c6c0b7c1bc4.png,TRN,TRE,Dolomiti Energia Trento,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png
