playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
82,62.0,14.0,16.186290322580643,5.0,0.3,0.7,37%,1.2,3.0,41.2%,0.7,0.8,93.6%,0.7,1.2,1.9,0.9,0.7,0.4,0.0,0.1,2.0,1.6,5.4,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.incrowdsports.com/d849757d-0a4d-47b8-82aa-ddca5eb1f7bc.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
83,59.0,22.0,16.095197740112994,4.5,1.0,1.6,60.4%,0.6,1.6,38.7%,0.7,0.9,78.4%,0.4,2.0,2.4,0.6,0.5,0.4,0.3,0.1,1.5,1.1,5.5,007960,"DAVIDOVAC, DEJAN",29,https://media-cdn.incrowdsports.com/7c9b47c4-d0ca-4827-bb68-3ad4f5d4e2c3.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
84,58.0,18.0,15.022988505747128,6.8,1.0,2.4,42.1%,1.2,2.9,41.5%,1.1,1.5,77.6%,0.3,1.2,1.5,1.2,0.2,1.0,0.1,0.2,1.4,1.8,5.6,009849,"DORSEY, TYLER",28,https://media-cdn.incrowdsports.com/153a0612-03d6-48a2-9d15-8d46677d32ba.png,ULK;OLY,FBB;OLY,Fenerbahce Beko Istanbul;Olympiacos Piraeus,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
85,63.0,37.0,16.570370370370373,5.0,0.9,1.5,56.8%,0.9,2.1,44.4%,0.5,0.5,88.2%,0.4,1.8,2.2,1.3,0.5,0.4,0.0,0.0,1.5,0.6,5.7,003733,"ABALDE, ALBERTO",29,https://media-cdn.incrowdsports.com/192d6d61-9180-4b9a-91c0-eff940b1f27e.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
86,54.0,7.0,14.814814814814815,4.1,0.8,1.6,51.8%,0.6,1.9,32.4%,0.6,0.8,77.3%,0.9,1.9,2.8,1.0,0.5,0.5,0.4,0.1,1.4,1.1,5.7,002084,"POLONARA, ACHILLE",33,https://media-cdn.incrowdsports.com/1cbaecd9-0811-4c56-b6db-96ca70ea1141.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
87,22.0,13.0,14.914393939393939,5.9,0.5,1.3,42.9%,1.0,3.1,32.4%,1.8,2.4,75%,0.4,0.8,1.1,2.3,0.4,1.3,0.0,0.0,2.0,2.8,5.8,008104,"ZAGARS, ARTURS",24,https://media-cdn.incrowdsports.com/b4c3cecb-dc7f-4b94-b9c6-c13671bade5b.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
88,31.0,20.0,14.593010752688171,6.0,1.6,3.3,48.5%,0.9,2.2,40.3%,0.3,0.3,88.9%,0.9,1.9,2.8,0.6,0.3,0.5,0.5,0.1,1.2,0.4,5.9,LHK,"PLEISS, TIBOR",35,https://media-cdn.incrowdsports.com/34479264-00b5-47ff-bcea-6f3aed97303e.png,IST;PAN,EFS;PAO,Anadolu Efes Istanbul;Panathinaikos AKTOR Athens,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
89,62.0,51.0,15.409408602150538,5.7,1.5,2.7,54.2%,0.7,1.8,37.5%,0.8,0.8,94.1%,0.8,2.0,2.8,0.9,0.5,0.8,0.1,0.2,1.7,1.1,6.0,012710,"OSMANI, ERCAN",26,https://media-cdn.incrowdsports.com/73c6e2d2-b8f4-45cf-998f-3c7c5efb2e4f.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
90,64.0,29.0,20.12578125,4.6,0.6,1.3,47.7%,0.9,2.5,35%,0.7,0.9,75.4%,0.4,1.7,2.1,3.5,1.0,1.2,0.1,0.2,2.7,1.3,6.0,006739,"PAJOLA, ALESSANDRO",25,https://media-cdn.incrowdsports.com/6541f280-b115-4758-b184-13631cba587a.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
91,39.0,2.0,15.727777777777778,6.2,1.2,2.1,54.2%,1.0,2.9,33%,1.0,1.3,77.6%,0.9,2.3,3.2,0.5,0.5,0.4,0.3,0.3,2.1,1.3,6.0,011971,"WEBB III, JAMES",30,https://media-cdn.incrowdsports.com/5db88293-4b27-4ff9-883f-ef8cc7bae695.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
