playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocksAgainst,personal_fouls,foulsDrawn,pir,player.code,player_name,player.age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl
446,45.0,21.0,17.04592592592593,7.8,3.1,5.7,54.7%,0.0,0.0,0%,1.6,2.3,67.3%,1.5,3.0,4.4,0.8,0.3,1.4,0.2,0.5,1.6,2.4,9.0,LUR,"MUSLI, DEJAN",26,https://media-cdn.cortextech.io/72c8191c-235e-41fa-9ff3-a27d7f59e0be.png,BAS;PAR;MAL;BAM,CLA;PAR;UNI;BRO,Baskonia Vitoria-Gasteiz;Partizan Mozzart Bet Belgrade;Unicaja Malaga;Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png;https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png
447,42.0,35.0,21.474603174603175,6.9,2.6,4.5,57.4%,0.0,0.0,0%,1.7,2.4,70.6%,1.9,3.0,4.9,0.4,0.4,1.7,1.1,0.2,2.5,2.3,9.0,AWY,"KORNEGAY, CHARLES",29,,MAL,UNI,Unicaja Malaga,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png
448,179.0,88.0,17.655493482309126,7.0,2.6,4.4,59.5%,0.1,0.4,27.1%,1.5,2.2,67.8%,1.5,2.4,3.9,1.5,0.5,1.3,0.2,0.3,2.0,2.2,9.1,002553,"MITROVIC, LUKA",31,https://media-cdn.incrowdsports.com/a68d0c8a-9eb6-4474-962c-16864ab255db.png,BAM;RED,BRO;CZV,Bamberger Basketball GmbH;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
449,63.0,39.0,25.622486772486774,10.5,1.6,3.8,43.1%,1.8,4.3,41%,1.9,2.4,80.3%,0.3,2.7,3.0,1.3,1.2,1.6,0.2,0.3,2.9,2.8,9.1,AJC,"FOIREST, LAURENT",36,,BAS;PAU;ASV,BKN;PAU;ASV,Baskonia Vitoria-Gasteiz;Elan Bearnais Pau-Lacq-Orthez;LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/4550b11c-3680-44b2-a512-f0b4ff304b59.png;https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
450,58.0,52.0,27.920402298850576,7.4,0.9,2.2,39.5%,1.4,3.8,37%,1.5,1.9,76.6%,0.3,1.7,2.0,5.1,1.1,2.0,0.0,0.2,2.3,2.0,9.1,000152,"COOK, OMAR",31,,MAL;PAM;MIL;BAS;LIE,UNI;VBC;EAM;CLA;LRY,Unicaja Malaga;Valencia Basket;EA7 Emporio Armani Milan;Baskonia Vitoria-Gasteiz;Rytas Vilnius,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png;https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/894a55c9-4a15-40b0-a1b0-b0aec2ce3592.png
451,39.0,33.0,23.192307692307693,7.0,2.3,4.4,52.9%,0.2,0.5,28.6%,1.9,2.8,69.7%,2.2,3.6,5.8,0.7,0.6,1.3,0.6,0.4,3.3,2.5,9.1,BJJ,"BADER, MARTON",26,,MES;CIB,MES;CIB,KK Krka Novo Mesto;KK Cibona,https://media-cdn.incrowdsports.com/8838f790-f665-472a-8cea-527f9e4a2458.png;https://media-cdn.incrowdsports.com/2bc7884a-4fe7-4362-9d4f-ba2ad8a0239d.png
452,152.0,85.0,19.34813596491228,5.6,1.6,2.5,64.6%,0.5,1.3,38.7%,0.9,1.2,76.8%,1.1,3.2,4.2,1.2,0.5,0.7,0.2,0.2,1.1,1.3,9.1,007230,"SEDEKERSKIS, TADAS",26,https://media-cdn.incrowdsports.com/a033b3ef-7790-421f-82fa-6aa8192098d4.png,BAS,TDS,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
453,54.0,34.0,17.78641975308642,8.4,3.2,7.0,46.5%,0.1,0.2,27.3%,1.7,2.6,66%,1.4,3.3,4.7,1.1,0.5,1.2,0.4,0.3,2.5,2.7,9.1,APD,"BESOK, HUSEYIN",32,,TEL;ASV;SOP,MAC;ASV;PRO,Maccabi Playtika Tel Aviv;LDLC ASVEL Villeurbanne;Arka Gdynia,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png;https://media-cdn.incrowdsports.com/210fa2fa-3529-400d-8d3f-9174a22ad1a8.png
454,74.0,47.0,23.06621621621622,9.8,2.4,4.4,55.3%,1.1,2.7,40.7%,1.7,2.2,79.5%,0.7,2.2,2.9,0.9,0.6,1.4,0.3,0.2,2.0,2.1,9.1,AHB,"RISACHER, STEPHANE",33,,OLY;MAL,OLY;UNI,Olympiacos Piraeus;Unicaja Malaga,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png
455,275.0,150.0,21.932787878787877,10.5,2.2,4.1,53.1%,1.7,4.1,42%,0.9,1.1,86.7%,0.3,1.5,1.8,1.9,0.7,1.0,0.4,0.2,1.9,1.4,9.1,006590,"BEAUBOIS, RODRIGUE",36,https://media-cdn.incrowdsports.com/d9946f3a-20ae-414f-a62f-0d85dbb5bb07.png,STR;BAS;IST,SIG;BKN;EFS,Strasbourg Illkirch-Graffenstaden Basket;Baskonia Vitoria-Gasteiz;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/554f980e-fded-4943-ab5b-541f1f36f6a9.png;https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
