playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocks_against,personal_fouls,fouls_drawn,pir,player.code,player_name,age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl,base_fantasy_points,fantasy_points,fantasy_per_minute
250,76.0,75.0,31.42214912280702,15.2,3.1,5.8,52.6%,2.1,5.3,39.3%,2.9,3.3,87.6%,1.4,3.5,4.9,1.7,1.1,1.3,0.2,0.4,2.1,4.0,17.0,008962,"HAYES-DAVIS, NIGEL",30,https://media-cdn.incrowdsports.com/37b00e59-560b-4b65-a269-9d2b0b8776bc.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,23.3,23.3,0.7415151620895418
254,24.0,22.0,30.64027777777778,14.7,5.1,8.2,61.6%,0.5,1.4,32.4%,3.2,4.0,78.4%,1.3,3.8,5.0,1.4,1.3,0.9,0.2,0.3,1.9,3.0,17.5,006835,"HOARD, JAYLEN",25,https://media-cdn.incrowdsports.com/e43108e6-9668-4d2c-8f49-626feda3dd50.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png,22.5,22.5,0.7343275463487602
251,76.0,69.0,25.52127192982456,11.7,2.3,4.1,56.9%,1.3,4.0,33%,3.1,3.6,86.2%,0.6,2.3,3.0,6.2,1.2,2.4,0.0,0.3,2.3,4.9,17.1,005928,"CAMPAZZO, FACUNDO",33,https://media-cdn.incrowdsports.com/3d4b3199-c570-491d-b1cf-76f82c2e229c.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,22.0,22.0,0.8620260017013671
248,29.0,24.0,24.98333333333333,12.7,3.5,6.6,53.1%,0.8,2.2,34.4%,3.4,4.3,78.6%,1.5,3.8,5.2,1.9,0.9,1.7,0.1,0.9,1.2,4.9,16.4,003958,"THIEMANN, JOHANNES",29,https://media-cdn.incrowdsports.com/8d67d189-5722-4ac9-918c-70c114ff40d9.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,21.9,21.9,0.8765843895930621
222,37.0,36.0,25.79144144144144,16.1,2.9,5.7,50.7%,2.5,6.9,35.8%,2.9,4.0,73.5%,0.6,1.6,2.2,2.6,1.1,1.8,0.1,0.3,2.0,3.0,12.6,013380,"FOURNIER, EVAN",32,https://media-cdn.incrowdsports.com/eefac20f-c371-476e-8294-f052e98bf0f3.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,21.000000000000004,21.000000000000004,0.8142235883822068
241,57.0,56.0,29.02309941520468,13.9,2.8,5.0,56.1%,2.1,5.1,40.1%,2.1,2.7,77.4%,0.6,3.0,3.6,2.7,1.0,1.8,0.1,0.2,1.6,3.2,15.1,007831,"SHIELDS, SHAVON",30,https://media-cdn.incrowdsports.com/cc164c6b-d942-4733-a6ff-dc4544e1a6c2.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,20.9,20.9,0.7201160600046342
220,69.0,61.0,25.86497584541063,16.0,3.3,6.5,50.8%,2.3,6.8,34.4%,2.4,2.6,91.1%,0.5,1.6,2.0,2.6,0.9,2.0,0.1,0.8,1.9,3.5,12.5,011987,"EDWARDS, CARSEN",26,https://media-cdn.incrowdsports.com/06c34b65-ca83-4e3e-8eda-b6c708dbccaf.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,20.400000000000002,20.400000000000002,0.7887113493523594
235,76.0,34.0,25.185087719298245,14.2,3.1,5.4,57.3%,2.1,5.6,36.8%,1.8,2.1,86.8%,0.5,4.4,4.9,1.2,0.9,1.3,0.1,0.3,1.7,1.9,13.8,003108,"HEZONJA, MARIO",29,https://media-cdn.incrowdsports.com/d61126dd-e3ac-46de-b012-42fd1ba92f1d.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,19.9,19.9,0.7901501166800181
227,33.0,32.0,25.795454545454547,12.7,3.2,6.7,47.7%,1.5,3.4,45.5%,1.7,2.1,80.9%,0.2,1.9,2.1,4.2,1.2,1.7,0.0,0.5,1.4,2.4,13.3,010568,"JONES, CHRIS",30,https://media-cdn.incrowdsports.com/7cbec5f6-7aa3-49d1-8db1-7dc304a70c37.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,19.0,19.0,0.7365638766519823
228,62.0,39.0,24.95913978494624,12.2,3.0,6.0,49.6%,1.3,3.6,37.1%,2.3,2.5,89.2%,0.7,3.4,4.1,3.0,1.0,2.0,0.3,0.4,2.5,3.3,13.3,009846,"BRYANT, ELIJAH",29,https://media-cdn.incrowdsports.com/884c7881-bc0b-4b2c-b95f-3f1abf3a8fa7.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,19.0,19.0,0.7612441840427363
238,27.0,12.0,22.183333333333334,13.3,2.5,4.9,50.8%,1.5,3.1,47.1%,3.9,4.5,86.9%,1.4,3.0,4.4,0.4,0.8,1.5,0.2,0.4,1.7,3.4,14.2,011982,"OJELEYE, SEMI",29,https://media-cdn.incrowdsports.com/2578af9b-c461-4517-a65f-de6ca1388bf4.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,18.900000000000002,18.900000000000002,0.8519909842223893
233,73.0,52.0,21.385388127853883,12.9,2.8,4.8,57.3%,1.4,3.6,39.4%,3.1,3.8,81.5%,0.6,2.2,2.8,2.1,0.3,1.4,0.2,0.3,1.2,3.1,13.5,006540,"MUSA, DZANAN",25,https://media-cdn.incrowdsports.com/33402fc3-96cf-4e53-ac32-2a46bc19b3d1.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,18.500000000000004,18.500000000000004,0.8650766537131145
192,38.0,0.0,19.967543859649123,15.1,2.4,4.9,48.9%,2.5,7.4,34.3%,2.7,3.1,85.7%,0.5,1.6,2.1,1.3,0.6,1.5,0.0,0.3,1.8,2.9,10.6,012640,"HIFI, NADIR",22,https://media-cdn.incrowdsports.com/097b8fc2-a7ee-4009-94ed-ba04f794b721.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,18.4,18.4,0.9214954092167112
218,42.0,18.0,24.14166666666667,12.7,1.2,2.7,42.6%,2.9,7.2,40.1%,1.7,1.9,87.5%,0.5,1.7,2.2,3.3,1.1,1.6,0.0,0.1,1.7,2.5,12.2,006661,"WILBEKIN, SCOTTIE",31,https://media-cdn.incrowdsports.com/dfcc2d01-1bfe-465a-81dd-f51457ff4287.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,18.4,18.4,0.7621677597514669
