NAME_KEY,REV_KEY,price
GEROGIOS BARTZOKAS,BARTZOKAS GEROGIOS,9.5
DYLAN OSETKOWSKI,OSETKOWSKI DYLAN,9.5
XABI LOPEZ-AROSTEGUI,LOPEZ-AROSTEGUI XABI,9.4
DAVIS BERTANS,BERTANS DAVIS,9.4
BONZIE COLSON,COLSON BONZIE,9.3
JIMMY CLARK III,CLARK III JIMMY,9.3
TYSON CARTER,CARTER TYSON,9.3
9.20 NTILIKINA FRANK,NTILIKINA FRANK 9.20,
THOMAS WALKUP,WALKUP THOMAS,9.2
JOHANNES VOIGTMANN,VOIGTMANN JOHANNES,9.2
TOMER GINAT,GINAT TOMER,9.2
ANTONIO BLAKENEY,BLAKENEY ANTONIO,9.2
JORDAN LOYD,LOYD JORDAN,9.1
KAMERON TAYLOR,TAYLOR KAMERON,9.1
KONSTANTINOS MITOGLOU,MITOGLOU KONSTANTINOS,9.0
MIKAEL JANTUNEN,JANTUNEN MIKAEL,9.0
SERGIO SCARIOLO,SCARIOLO SERGIO,9.0
ALEN SMAILAGIC,SMAILAGIC ALEN,9.0
TAI ODIASE,ODIASE TAI,9.0
KARIM JALLOW,JALLOW KARIM,9.0
PERRY DOZIER JR,DOZIER JR PERRY,9.0
8.80 BONGA ISAAC,BONGA ISAAC 8.80,
DUSTIN SLEVA,SLEVA DUSTIN,8.8
OMER YURTSEVEN,YURTSEVEN OMER,8.8
SABEN LEE,LEE SABEN,8.8
BRANCOU BADIO,BADIO BRANCOU,8.7
AMATH M'BAYE,M'BAYE AMATH,8.7
DAVID MICHINEAU,MICHINEAU DAVID,8.6
DUANE WASHINGTON,WASHINGTON DUANE,8.5
EDGARAS ULANOVAS,ULANOVAS EDGARAS,8.5
TIMOTHÈ LUWAWU-CABARROT,LUWAWU-CABARROT TIMOTHÈ,8.5
LEANDRO BOLMARO,BOLMARO LEANDRO,8.5
VASILIS SPANOULIS,SPANOULIS VASILIS,8.5
SARAS JASIKEVICIUS,JASIKEVICIUS SARAS,8.5
ISH WAINRIGHT,WAINRIGHT ISH,8.5
DIMITRIS ITOUDIS,ITOUDIS DIMITRIS,8.5
JOEL AYAYI,AYAYI JOEL,8.5
EBUKA IZUNDU,IZUNDU EBUKA,8.5
TYLER DORSEY,DORSEY TYLER,8.4
AZOULAS TUBELIS,TUBELIS AZOULAS,8.4
GERORGIOS PAPAGIANNIS,PAPAGIANNIS GERORGIOS,8.3
NEMANJA NEDOVIC,NEDOVIC NEMANJA,8.3
IGNAS BRAZDEIKIS,BRAZDEIKIS IGNAS,8.3
ISMAEL BAKO,BAKO ISMAEL,8.3
MATTHEW MORGAN,MORGAN MATTHEW,8.2
DEREK WILLIS,WILLIS DEREK,8.2
JARON BLOSSOMGAME,BLOSSOMGAME JARON,8.2
MARIUS GRIGONIS,GRIGONIS MARIUS,8.2
DEVON HALL,HALL DEVON,8.2
TARIK BIBEROVIC,BIBEROVIC TARIK,8.2
TAMIR BLATT,BLATT TAMIR,8.2
USMAN GARUBA,GARUBA USMAN,8.1
KOSTAS PAPANIKOLAU,PAPANIKOLAU KOSTAS,8.1
DARIO BRIZUELA,BRIZUELA DARIO,8.1
JEREMY MORGAN,MORGAN JEREMY,8.1
JOAN PENARROYA,PENARROYA JOAN,8.0
MATTEO SPAGNOLO,SPAGNOLO MATTEO,8.0
IGOR KOKOSKOV,KOKOSKOV IGOR,8.0
KENAN KAMENJAS,KAMENJAS KENAN,8.0
MYLES CALE,CALE MYLES,8.0
BRUNO FERNANDO,FERNANDO BRUNO,8.0
CLEMENT FRISCH,FRISCH CLEMENT,8.0
ARMEL TRAORE,TRAORE ARMEL,8.0
DAVID KRAMER,KRAMER DAVID,8.0
ALLAN DOKOSSI,DOKOSSI ALLAN,7.9
DEIVIDAS SIRVYDIS,SIRVYDIS DEIVIDAS,7.8
ALEKSA AVRAMOVIC,AVRAMOVIC ALEKSA,7.8
KLEMEN PREPELIC,PREPELIC KLEMEN,7.8
MOUHAMED FAYE,FAYE MOUHAMED,7.8
COLLIN MALCOLM,MALCOLM COLLIN,7.7
NIKOS ROGAKAVOPOULOS,ROGAKAVOPOULOS NIKOS,7.7
UROS PLAVSIC,PLAVSIC UROS,7.7
NICCOLO MANNION,MANNION NICCOLO,7.7
AWUDU ABASS,ABASS AWUDU,7.7
JUSTIN ANDERSON,ANDERSON JUSTIN,7.6
RODRIGUE BEAUBOIS,BEAUBOIS RODRIGUE,7.6
BRICE DESSERT,DESSERT BRICE,7.6
ARMONI BROOKS,BROOKS ARMONI,7.5
YOUSSOUPHA FALL,FALL YOUSSOUPHA,7.5
IFFE LUNDBERG,LUNDBERG IFFE,7.5
GABRIELE PROCIDA,PROCIDA GABRIELE,7.5
ETTORE MESSINA,MESSINA ETTORE,7.5
VASSILIS TOLIOPOULOS,TOLIOPOULOS VASSILIS,7.5
JUSTINIAN JESSUP,JESSUP JUSTINIAN,7.5
YOAN MAKOUNDOU,MAKOUNDOU YOAN,7.5
ETHAN HAPP,HAPP ETHAN,7.5
NICK CALATHES,CALATHES NICK,7.4
SHAQUIELLE MCKISSIC,MCKISSIC SHAQUIELLE,7.4
VANJA MARINKOVIC,MARINKOVIC VANJA,7.4
SALIOU NIANG,NIANG SALIOU,7.4
ANDRES FELIZ,FELIZ ANDRES,7.4
ISIAHA MIKE,MIKE ISIAHA,7.3
KEVARRIUS HAYES,HAYES KEVARRIUS,7.3
ALESSANDRO PAJOLA,PAJOLA ALESSANDRO,7.3
MOUHAMET DIOUF,DIOUF MOUHAMET,7.3
BODIAN MASSA,MASSA BODIAN,7.3
JUAN NUNEZ,NUNEZ JUAN,7.2
ARTURS ZAGARS,ZAGARS ARTURS,7.2
MAM JAITEH,JAITEH MAM,7.2
UROS TRIFUNOVIC,TRIFUNOVIC UROS,7.2
YANKUBA SIMA,SIMA YANKUBA,7.2
KAMAR BALDWIN,BALDWIN KAMAR,7.1
DAULTON HOMMES,HOMMES DAULTON,7.1
MATTHEW STRAZEL,STRAZEL MATTHEW,7.1
KHEM BIRCH,BIRCH KHEM,7.1
DONATAS MOTIEJUNAS,MOTIEJUNAS DONATAS,7.0
ROLANDS SMITS,SMITS ROLANDS,7.0
IOANNIS SFAIROPOULOS,SFAIROPOULOS IOANNIS,7.0
ODED KATTASH,KATTASH ODED,7.0
QUINN ELLIS,ELLIS QUINN,7.0
STEFAN JOVIC,JOVIC STEFAN,7.0
ONURALP BITIM,BITIM ONURALP,7.0
JURICA GOLEMAC,GOLEMAC JURICA,7.0
BASTIEN VAUTIER,VAUTIER BASTIEN,7.0
NATHAN REUVERS,REUVERS NATHAN,7.0
MARCIO SANTOS,SANTOS MARCIO,6.9
RODIONS KURUCS,KURUCS RODIONS,6.9
JOEL PARRA,PARRA JOEL,6.8
IZAN ALMANSA,ALMANSA IZAN,6.8
SEHMUS HAZER,HAZER SEHMUS,6.7
DOVYDAS GIEDRAITIS,GIEDRAITIS DOVYDAS,6.6
LAURYNAS BIRUTIS,BIRUTIS LAURYNAS,6.6
ANDREAS OBST,OBST ANDREAS,6.5
MBAYE NDIAYE,NDIAYE MBAYE,6.5
ISAIAH CANAAN,CANAAN ISAIAH,6.5
DUSKO IVANOVIC,IVANOVIC DUSKO,6.5
TOMAS MASIULIS,MASIULIS TOMAS,6.5
PEDRO MARTINEZ,MARTINEZ PEDRO,6.5
JOSEP PUERTO,PUERTO JOSEP,6.5
SERGIO DE LARREA,DE LARREA SERGIO,6.5
DANILO ANDJUSIC,ANDJUSIC DANILO,6.5
GUR LAVY,LAVY GUR,6.5
ERCAN OSMANI,OSMANI ERCAN,6.5
JILSON BANGO,BANGO JILSON,6.4
DANIEL HACKETT,HACKETT DANIEL,6.3
KHALIFA DIOP,DIOP KHALIFA,6.3
ALBERTO ABALDE,ABALDE ALBERTO,6.1
JUANI MARCOS,MARCOS JUANI,6.1
BRYANT DUNSTON,DUNSTON BRYANT,6.0
GORDON HERBERT,HERBERT GORDON,6.0
JOHN DIBARTOLOMEO,DIBARTOLOMEO JOHN,6.0
FRANCESCO TABELLINI,TABELLINI FRANCESCO,6.0
STEFANO TONUT,TONUT STEFANO,6.0
ARNAS BUTKEVICIUS,BUTKEVICIUS ARNAS,6.0
NATHAN SESTINA,SESTINA NATHAN,6.0
MARIO NAKIC,NAKIC MARIO,5.9
YAKUBA OUATTARA,OUATTARA YAKUBA,5.8
OSCAR DA SILVA,DA SILVA OSCAR,5.7
SERGIO LLULL,LLULL SERGIO,5.6
NIELS GIFFEY,GIFFEY NIELS,5.6
PAOLO GALBIATI,GALBIATI PAOLO,5.5
JUSTUS HOLLATZ,HOLLATZ JUSTUS,5.5
ELIAS HARRIS,HARRIS ELIAS,5.5
KOSTAS ANTETOKOUNMPO,ANTETOKOUNMPO KOSTAS,5.5
TERRY TARPEY,TARPEY TERRY,5.4
GIANNOULIS LARENTZAKIS,LARENTZAKIS GIANNOULIS,5.3
ERKAN YILMAZ,YILMAZ ERKAN,5.3
WILLIAM RAYMAN,RAYMAN WILLIAM,5.3
OUSMANE DIOP,DIOP OUSMANE,5.2
NICOLA AKELE,AKELE NICOLA,5.2
LEOPOLD CAVALIERE,CAVALIERE LEOPOLD,5.1
RAFA VILLAR,VILLAR RAFA,5.1
OGNJEN DOBRIC,DOBRIC OGNJEN,5.0
DAVID LIGHTY,LIGHTY DAVID,5.0
ENZO SHAHRVIN,SHAHRVIN ENZO,5.0
GIAMPAOLO RICCI,RICCI GIAMPAOLO,5.0
PIERRIC PUPET,PUPET PIERRIC,5.0
OZ BLAYZER,BLAYZER OZ,5.0
DAVID MUTAF,MUTAF DAVID,5.0
STEFAN MILJENOVIC,MILJENOVIC STEFAN,5.0
ABRAMO CANKA,CANKA ABRAMO,4.9
DIEGO FLACCADORI,FLACCADORI DIEGO,4.8
NEMANJA DANGUBIC,DANGUBIC NEMANJA,4.8
JUHANN BEGARIN,BEGARIN JUHANN,4.5
LEON KRATZER,KRATZER LEON,4.5
SEBASTIAN HERRERA,HERRERA SEBASTIAN,4.5
MELIH MAHMUTOGLU,MAHMUTOGLU MELIH,4.5
DALIBOR ILIC,ILIC DALIBOR,4.5
ARIJAN LAKIC,LAKIC ARIJAN,4.3
EDWIN JACKSON,JACKSON EDWIN,4.2
METECAN DIRSEN,DIRSEN METECAN,4.2
THIRDY RAVENA,RAVENA THIRDY,4.2
IOANNIS KOUZELOGLOU,KOUZELOGLOU IOANNIS,4.2
PANAGIOTIS KALAITZAKIS,KALAITZAKIS PANAGIOTIS,4.1
MITAR BOSNJAKOVIC,BOSNJAKOVIC MITAR,4.0
BURAKCAN YILDIZLI,YILDIZLI BURAKCAN,4.0
YIGIT HAMZA MESTOGLU,MESTOGLU YIGIT HAMZA,4.0
MERT EKSIOGLU,EKSIOGLU MERT,4.0
GUY PALATIN,PALATIN GUY,4.0
ALEXANDROS SAMODUROV,SAMODUROV ALEXANDROS,4.0
BAR TIMOR,TIMOR BAR,4.0
LAZAR STOJKOVIC,STOJKOVIC LAZAR,4.0
OGNJEN RADOSIC,RADOSIC OGNJEN,4.0
IFTACH ZIV,ZIV IFTACH,4.0
ITAY SEGEV,SEGEV ITAY,4.0
OMIROS NETZIPOGLOU,NETZIPOGLOU OMIROS,4.0
ILIAN MOUNGALLA,MOUNGALLA ILIAN,4.0
MATTEO ACCORSI,ACCORSI MATTEO,4.0
