playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
12,58.0,34.0,14.867241379310345,3.9,0.7,1.4,51.9%,0.6,1.6,39.4%,0.5,0.6,85.7%,0.6,1.6,2.3,0.5,0.3,0.8,0.0,0.2,1.5,1.0,3.7,006643,"PUERTO, JOSEP",24,https://media-cdn.incrowdsports.com/5c0cc065-9d15-40de-ab9e-6237b25c2584.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
13,88.0,28.0,15.878219696969696,4.5,1.0,1.8,54.7%,0.7,2.4,30%,0.4,0.7,60%,0.8,1.7,2.5,0.5,0.3,0.6,0.1,0.2,1.8,1.0,3.7,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
14,69.0,11.0,16.79951690821256,6.1,1.1,2.5,45.3%,1.1,3.1,36%,0.6,0.8,70.7%,0.4,0.9,1.3,1.3,0.5,0.9,0.1,0.2,2.1,1.2,3.7,003211,"DIMSA, TOMAS",29,https://media-cdn.incrowdsports.com/f5a9303d-e74d-4955-8a7a-30ac7ec50c2c.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
15,76.0,5.0,12.757017543859648,5.2,1.1,2.6,42.6%,0.7,1.8,38.1%,1.0,1.1,89%,0.1,0.7,0.8,1.4,0.3,1.1,0.0,0.2,1.2,1.5,4.0,003210,"LEKAVICIUS, LUKAS",30,https://media-cdn.incrowdsports.com/e03b2138-ce9d-477b-9745-555d0ff9adb0.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
16,63.0,1.0,10.3484126984127,4.1,1.5,2.2,65.2%,0.0,0.0,0%,1.2,1.8,64.3%,1.0,1.0,2.0,0.5,0.4,1.0,0.2,0.1,2.3,1.7,4.1,008991,"BLACK, TARIK",33,https://media-cdn.incrowdsports.com/31431122-8f94-41c1-ae56-2c34657c17c3.png,OLY;ASV,OLY;ASV,Olympiacos Piraeus;LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
17,72.0,19.0,16.924305555555556,4.7,1.1,2.3,47%,0.6,1.9,30.9%,0.8,1.0,85.7%,0.5,1.9,2.4,0.5,0.2,0.6,0.1,0.2,1.7,1.3,4.2,KIR,"KAHUDI, CHARLES",38,https://media-cdn.incrowdsports.com/09c42084-be1d-4b65-b880-9544effea93a.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
18,95.0,0.0,12.58140350877193,5.2,0.6,1.4,41.5%,1.1,2.9,35.8%,0.9,1.2,77.3%,0.3,1.1,1.4,1.2,0.5,0.9,0.1,0.1,1.7,1.5,4.2,010392,"LARENTZAKIS, GIANNOULIS",31,https://media-cdn.incrowdsports.com/f051ba29-7b39-4681-b3c7-3de17ce25734.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
19,89.0,25.0,14.149250936329588,3.7,1.3,2.1,59.9%,0.2,0.8,27.8%,0.5,0.7,64.1%,1.1,1.6,2.8,0.4,0.5,0.4,0.2,0.2,1.7,0.8,4.2,011244,"DA SILVA, OSCAR",26,https://media-cdn.incrowdsports.com/415f34c0-6698-4640-b7cf-59edcf39a4bc.png,BAR;MUN,BAR;BAY,FC Barcelona;FC Bayern Munich,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
20,57.0,7.0,14.117543859649123,4.0,1.2,2.1,55.8%,0.4,1.6,25.6%,0.5,0.6,74.3%,0.9,1.7,2.5,0.5,0.4,0.4,0.1,0.1,1.4,0.8,4.2,007464,"PARRA, JOEL",24,https://media-cdn.incrowdsports.com/344d80d5-23c4-441d-8f4c-5a5ed14a9999.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
21,61.0,15.0,13.485245901639345,3.6,1.4,2.3,58.7%,0.2,0.5,35.5%,0.3,0.6,52.6%,1.1,1.6,2.7,0.7,0.4,0.7,0.1,0.2,1.6,0.9,4.2,010393,"PRADILLA, JAIME",22,https://media-cdn.incrowdsports.com/9c8c8d4f-31d8-4c05-bf26-60334b55cf5d.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
