playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,price,fantasy_points_total,fantasy_points_per_game,value_score
172.0,28.0,11.0,26.198214285714283,11.7,1.9,3.9,48.1%,2.0,5.2,39.3%,1.9,2.2,86.9%,0.4,2.2,2.6,4.5,1.2,1.8,0.0,0.3,0.9,3.9,15.5,007200,"LARKIN, SHANE",13.6,15.399999999999995,0.5499999999999998,0.04044117647058822
177.0,37.0,33.0,27.07702702702703,16.6,3.3,6.2,53.9%,2.1,5.5,38.6%,3.6,3.9,94.4%,0.3,1.9,2.2,3.0,1.3,1.6,0.0,0.4,2.2,4.0,16.5,009862,"PUNTER, KEVIN",13.5,16.3,0.44054054054054054,0.032632632632632635
,,,,,,,,,,,,,,,,,,,,,,,,,,"MOTLEY, JONATHAN",13.5,,,
188.0,33.0,33.0,27.593434343434343,17.0,2.8,5.4,52.5%,1.7,4.8,34.4%,6.3,7.0,90.4%,0.4,3.0,3.5,4.6,1.0,2.9,0.2,0.5,1.8,5.9,20.6,007027,"MALEDON, THEO",13.3,20.6,0.6242424242424243,0.04693552061973114
,,,,,,,,,,,,,,,,,,,,,,,,,,"OKEKE, CHUMA",13.3,,,
156.0,35.0,23.0,21.78619047619048,12.2,2.6,4.8,53.3%,1.3,3.5,37.2%,3.2,3.9,81.2%,0.5,2.4,2.9,2.0,0.4,1.7,0.1,0.3,1.3,3.2,12.5,006540,"MUSA, DZANAN",13.2,12.4,0.3542857142857143,0.026839826839826844
171.0,24.0,24.0,27.43055555555556,13.8,3.2,6.1,51.7%,1.8,5.2,34.1%,2.0,2.5,81.7%,1.0,3.7,4.7,2.4,1.1,1.4,0.2,0.2,1.5,3.3,15.4,004888,"CLYBURN, WILL",13.0,15.599999999999998,0.6499999999999999,0.049999999999999996
167.0,38.0,31.0,27.03245614035088,13.8,3.4,6.9,49%,1.5,4.1,36.5%,2.6,2.9,90%,0.6,3.6,4.2,3.1,1.2,2.2,0.2,0.5,2.7,3.7,14.4,009846,"BRYANT, ELIJAH",13.0,14.399999999999999,0.3789473684210526,0.0291497975708502
157.0,37.0,36.0,25.79144144144144,16.1,2.9,5.7,50.7%,2.5,6.9,35.8%,2.9,4.0,73.5%,0.6,1.6,2.2,2.6,1.1,1.8,0.1,0.3,2.0,3.0,12.6,013380,"FOURNIER, EVAN",13.0,12.700000000000006,0.3432432432432434,0.026403326403326415
,,,,,,,,,,,,,,,,,,,,,,,,,,"THEIS, DANIEL",13.0,,,
